States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper, 2020,2020_lower, 2020_upper
Central,<1000 ,<500 , 1800,1100 ,<500 , 2600,1300 ,<1000 , 2900,1400 ,<1000 , 2900,1200 ,<1000 , 2500,<1000 ,<500 , 1900,<1000 ,<500 , 1600,<1000 ,<500 , 1300,<500 ,<500 , 1100,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500
Coast,1000 ,<500 , 2100,1100 ,<500 , 2300,1000 ,<500 , 2200,<1000 ,<500 , 1800,<1000 ,<500 , 1700,<1000 ,<500 , 1500,<1000 ,<500 , 1300,<1000 ,<500 , 1200,<500 ,<500 , 1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500
Eastern,<1000 ,<500 , 1200,<1000 ,<500 , 1800,1100 ,<500 , 2500,1200 ,<500 , 2900,1200 ,<500 , 2900,<1000 ,<500 , 2100,<1000 ,<500 , 1700,<1000 ,<500 , 1400,<500 ,<200 , 1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500
Nairobi,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<200 ,<100 , <1000,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <1000,<500 ,<100 , <1000,<200 ,<100 , <500,<200 ,<100 , <1000,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500
North Eastern,<100 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<100 ,<100 , <500,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Nyanza,2900 ,1400 , 6000,3400 ,1800 , 7600,3800 ,1900 , 8300,3800 ,1900 , 8400,3700 ,1800 , 8100,3400 ,1600 , 7000,3000 ,1400 , 5800,2600 ,1300 , 5000,2300 ,1100 , 4200,2000 ,1000 , 3800,1800 ,<1000 , 3400,1600 ,<1000 , 3000,1500 ,<1000 , 2800,1400 ,<1000 , 2800,1400 ,<1000 , 2700,1300 ,<1000 , 2600,1300 ,<1000 , 2700,1200 ,<1000 , 2600,1300 ,<1000 , 2700,1200 ,<1000 , 2600,1200 ,<1000 , 2600,1100 ,<1000 , 2500,1100 ,<500 , 2300,1000 ,<500 , 2200,<1000 ,<500 , 2100,<1000 ,<500 , 1900,<1000 ,<500 , 1600,<1000 ,<500 , 1300,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1100
Rift Valley,2100 ,<1000 , 4500,2200 ,<1000 , 5000,2300 ,<1000 , 5200,2100 ,<1000 , 4500,1800 ,<1000 , 3900,1500 ,<1000 , 3200,1200 ,<1000 , 2600,1000 ,<500 , 2200,<1000 ,<500 , 2100,<1000 ,<500 , 1800,<1000 ,<500 , 1700,<1000 ,<500 , 1600,<1000 ,<500 , 1400,<1000 ,<500 , 1400,<1000 ,<500 , 1300,<1000 ,<500 , 1300,<1000 ,<500 , 1300,<1000 ,<500 , 1300,<1000 ,<500 , 1300,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<500 ,<200 , 1100,<500 ,<200 , 1100,<500 ,<200 , 1100,<500 ,<200 , 1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000
Western,<1000 ,<500 , 2100,1100 ,<500 , 2200,1100 ,<500 , 2300,1000 ,<500 , 2100,<1000 ,<500 , 1900,<1000 ,<500 , 1500,<1000 ,<500 , 1100,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<100 , <1000,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<200 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500
National,8700 ,3300,22 000,10 000 ,3900,26 000,11 000 ,4200,28 000,11 000 ,4100,27 000,9900 ,3800,25 000,8500 ,3200,21 000,7100 ,2700,18 000,6000 ,2300,15 000,5300 ,2000,13 000,4600 ,1800,12 000,4200 ,1600,11 000,3800 ,1500,9700,3600 ,1400,9000,3400 ,1300,8600,3300 ,1300,8200,3200 ,1200,8000,3100 ,1200,7900,3000 ,1200,7600,3000 ,1200,7600,3000 ,1100,7400,2900 ,1100,7200,2700 ,1000,6800,2500 ,<1000,6400,2400 ,<1000,6200,2300 ,<1000,5900,2200 ,<1000,5500,1900 ,<1000,4900,1700 ,<1000,4400,1600 ,<1000,3900,1500 ,<1000,3900,1500 ,<1000,3700
