States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper, 2020,2020_lower, 2020_upper
Central,16 000 ,11 000 , 24 000,22 000 ,15 000 , 32 000,27 000 ,19 000 , 38 000,28 000 ,21 000 , 40 000,25 000 ,19 000 , 33 000,21 000 ,15 000 , 27 000,17 000 ,13 000 , 22 000,14 000 ,11 000 , 17 000,13 000 ,10 000 , 15 000,11 000 ,9300 , 13 000,10 000 ,8600 , 12 000,9400 ,7900 , 11 000,9100 ,7500 , 11 000,8600 ,7000 , 10 000,7900 ,6400 , 9900,7300 ,5800 , 8900,6900 ,5500 , 8500,6200 ,4900 , 7700,5900 ,4500 , 7500,5700 ,4400 , 7500,5100 ,3800 , 6900,4500 ,3300 , 6100,4100 ,2900 , 5700,3400 ,2200 , 4900,3100 ,2000 , 4500,2800 ,1700 , 4200,2500 ,1500 , 3800,2000 ,1100 , 3100,1800 ,1000 , 3000,1800 ,<1000 , 2900,1600 ,<1000 , 2700
Coast,19 000 ,13 000 , 25 000,20 000 ,15 000 , 26 000,21 000 ,15 000 , 26 000,19 000 ,15 000 , 24 000,18 000 ,14 000 , 22 000,16 000 ,12 000 , 19 000,14 000 ,11 000 , 18 000,13 000 ,11 000 , 16 000,12 000 ,9800 , 14 000,11 000 ,9300 , 13 000,10 000 ,8700 , 13 000,9700 ,8200 , 11 000,9000 ,7600 , 11 000,8700 ,7200 , 10 000,8400 ,7100 , 9900,7800 ,6600 , 9300,7200 ,6000 , 8800,6700 ,5400 , 8300,6200 ,4800 , 7800,6000 ,4400 , 7600,5600 ,4100 , 7100,5000 ,3600 , 6700,4800 ,3500 , 6500,4500 ,3400 , 6300,4100 ,3000 , 5800,3500 ,2500 , 4900,3300 ,2200 , 4600,3300 ,2300 , 4600,2800 ,1900 , 4100,2700 ,1800 , 4100,2500 ,1600 , 4000
Eastern,11 000 ,7300 , 18 000,18 000 ,12 000 , 26 000,24 000 ,16 000 , 37 000,28 000 ,20 000 , 42 000,29 000 ,21 000 , 41 000,25 000 ,18 000 , 33 000,20 000 ,15 000 , 27 000,17 000 ,14 000 , 22 000,14 000 ,12 000 , 18 000,13 000 ,11 000 , 16 000,12 000 ,10 000 , 15 000,12 000 ,9600 , 14 000,11 000 ,9300 , 13 000,11 000 ,8600 , 12 000,9800 ,7900 , 12 000,9100 ,7400 , 11 000,8600 ,6800 , 10 000,8000 ,6300 , 9800,7300 ,5400 , 9300,7100 ,5200 , 9300,6700 ,5000 , 8800,6100 ,4400 , 8200,5900 ,4200 , 8100,5500 ,3900 , 7900,5100 ,3400 , 7300,4200 ,2700 , 6200,3900 ,2400 , 5800,3800 ,2300 , 5600,3200 ,1800 , 5000,3100 ,1700 , 4900,2900 ,1500 , 4800
Nairobi,13 000 ,11 000 , 16 000,14 000 ,12 000 , 18 000,15 000 ,12 000 , 18 000,14 000 ,11 000 , 18 000,14 000 ,11 000 , 17 000,13 000 ,10 000 , 16 000,12 000 ,9900 , 15 000,11 000 ,9400 , 14 000,11 000 ,8900 , 14 000,10 000 ,8500 , 13 000,9500 ,7800 , 12 000,8900 ,7500 , 11 000,8700 ,7200 , 11 000,8500 ,7100 , 11 000,8700 ,7300 , 11 000,9600 ,8000 , 12 000,10 000 ,8400 , 12 000,9800 ,8000 , 12 000,9100 ,7400 , 12 000,9000 ,7300 , 11 000,7800 ,6300 , 10 000,6700 ,5100 , 8800,6600 ,5000 , 8600,5800 ,4400 , 7900,4800 ,3600 , 6500,4700 ,3600 , 6300,4600 ,3500 , 6200,4700 ,3500 , 6300,4700 ,3400 , 6600,4700 ,3300 , 6700,4600 ,3100 , 6600
North Eastern,2000 ,1300 , 3000,2700 ,1600 , 4300,2700 ,1700 , 4300,2400 ,1500 , 3600,2100 ,1200 , 3100,1800 ,1000 , 2800,1500 ,<1000 , 2400,1300 ,<1000 , 2100,1100 ,<1000 , 1800,1000 ,<1000 , 1600,<1000 ,<1000 , 1500,<1000 ,<1000 , 1400,<1000 ,<500 , 1300,<1000 ,<500 , 1200,<1000 ,<500 , 1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500
Nyanza,51 000 ,39 000 , 65 000,61 000 ,48 000 , 76 000,68 000 ,54 000 , 85 000,70 000 ,55 000 , 86 000,69 000 ,56 000 , 85 000,66 000 ,53 000 , 79 000,61 000 ,50 000 , 71 000,57 000 ,48 000 , 64 000,52 000 ,45 000 , 59 000,48 000 ,42 000 , 54 000,45 000 ,39 000 , 50 000,42 000 ,37 000 , 47 000,39 000 ,35 000 , 44 000,37 000 ,33 000 , 42 000,36 000 ,32 000 , 41 000,34 000 ,29 000 , 38 000,32 000 ,28 000 , 38 000,31 000 ,26 000 , 36 000,27 000 ,22 000 , 33 000,26 000 ,21 000 , 33 000,25 000 ,20 000 , 32 000,23 000 ,18 000 , 29 000,22 000 ,17 000 , 28 000,22 000 ,16 000 , 29 000,21 000 ,15 000 , 27 000,18 000 ,13 000 , 24 000,15 000 ,11 000 , 21 000,13 000 ,9200 , 19 000,11 000 ,7400 , 17 000,11 000 ,7100 , 17 000,10 000 ,6700 , 17 000
Rift Valley,41 000 ,31 000 , 53 000,46 000 ,35 000 , 61 000,48 000 ,37 000 , 64 000,46 000 ,36 000 , 57 000,43 000 ,33 000 , 52 000,36 000 ,29 000 , 44 000,32 000 ,26 000 , 40 000,29 000 ,23 000 , 36 000,27 000 ,22 000 , 33 000,25 000 ,20 000 , 30 000,23 000 ,20 000 , 28 000,22 000 ,19 000 , 26 000,21 000 ,18 000 , 25 000,21 000 ,17 000 , 24 000,19 000 ,16 000 , 22 000,18 000 ,15 000 , 21 000,17 000 ,14 000 , 20 000,17 000 ,14 000 , 20 000,16 000 ,13 000 , 19 000,15 000 ,12 000 , 18 000,14 000 ,12 000 , 18 000,13 000 ,11 000 , 17 000,13 000 ,10 000 , 17 000,12 000 ,9400 , 17 000,12 000 ,9200 , 16 000,11 000 ,8200 , 15 000,10 000 ,7400 , 14 000,9700 ,7000 , 14 000,8700 ,6100 , 13 000,8800 ,6100 , 14 000,8500 ,5800 , 15 000
Western,21 000 ,16 000 , 28 000,24 000 ,19 000 , 31 000,26 000 ,21 000 , 32 000,24 000 ,19 000 , 30 000,22 000 ,17 000 , 28 000,19 000 ,15 000 , 24 000,16 000 ,13 000 , 20 000,14 000 ,11 000 , 17 000,13 000 ,10 000 , 15 000,11 000 ,9300 , 13 000,10 000 ,8600 , 12 000,9900 ,8100 , 12 000,8900 ,7500 , 11 000,8500 ,7200 , 10 000,7800 ,6600 , 9600,7600 ,6300 , 9300,7300 ,6100 , 9100,6900 ,5600 , 8500,6000 ,4800 , 7600,6100 ,4900 , 7900,5800 ,4600 , 7600,5000 ,3900 , 6900,5000 ,3800 , 6800,4900 ,3700 , 6900,4600 ,3400 , 6600,4200 ,3000 , 6200,3700 ,2500 , 5700,3200 ,2100 , 5300,2900 ,1800 , 5100,2800 ,1800 , 5100,2700 ,1700 , 4700
National,170 000 ,110 000,290 000,210 000 ,130 000,340 000,230 000 ,150 000,380 000,230 000 ,150 000,380 000,220 000 ,140 000,360 000,200 000 ,130 000,330 000,180 000 ,110 000,290 000,160 000 ,100 000,260 000,140 000 ,91 000,240 000,130 000 ,83 000,220 000,120 000 ,78 000,200 000,110 000 ,73 000,190 000,110 000 ,69 000,180 000,100 000 ,66 000,170 000,98 000 ,63 000,160 000,94 000 ,60 000,150 000,90 000 ,57 000,150 000,85 000 ,54 000,140 000,77 000 ,49 000,130 000,75 000 ,48 000,120 000,71 000 ,45 000,120 000,63 000 ,40 000,100 000,61 000 ,39 000,100 000,59 000 ,37 000,97 000,54 000 ,35 000,90 000,48 000 ,31 000,79 000,43 000 ,28 000,71 000,40 000 ,25 000,66 000,35 000 ,22 000,58 000,35 000 ,22 000,57 000,33 000 ,21 000,55 000
