States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper, 2020,2020_lower, 2020_upper, 2021,2021_lower, 2021_upper
Central,14 000 ,9300 , 20 000,19 000 ,13 000 , 29 000,23 000 ,16 000 , 33 000,23 000 ,16 000 , 32 000,21 000 ,16 000 , 28 000,17 000 ,12 000 , 23 000,13 000 ,9100 , 18 000,10 000 ,7200 , 14 000,8000 ,6000 , 11 000,7000 ,5400 , 9700,6400 ,5000 , 8500,5700 ,4500 , 7400,5200 ,4200 , 6800,5000 ,3900 , 6600,4800 ,3700 , 6300,4300 ,3300 , 5900,3900 ,2900 , 5400,3700 ,2700 , 5300,3500 ,2400 , 5100,3300 ,2200 , 4900,3100 ,2000 , 4700,2900 ,1800 , 4500,2500 ,1500 , 4100,2200 ,1300 , 3600,2000 ,1200 , 3500,2100 ,1200 , 3600,1900 ,<1000 , 3600,1400 ,<1000 , 2900,1400 ,<1000 , 2700,1400 ,<1000 , 2800,1300 ,<1000 , 2600,1200 ,<1000 , 2300
Coast,17 000 ,13 000 , 22 000,18 000 ,14 000 , 23 000,17 000 ,13 000 , 22 000,16 000 ,13 000 , 21 000,14 000 ,12 000 , 18 000,12 000 ,9700 , 16 000,11 000 ,8700 , 14 000,9500 ,7500 , 12 000,8400 ,6800 , 10 000,7400 ,6000 , 9400,7000 ,5700 , 8800,6600 ,5300 , 8300,6300 ,5200 , 8000,5900 ,4800 , 7500,5600 ,4600 , 7200,5300 ,4400 , 6800,5100 ,4200 , 6500,4900 ,4000 , 6400,4500 ,3600 , 6000,4400 ,3500 , 5900,4200 ,3400 , 5800,4200 ,3300 , 6000,3900 ,2900 , 5500,3600 ,2700 , 5200,3500 ,2600 , 5200,3100 ,2200 , 4500,3000 ,2000 , 4600,2900 ,2000 , 4500,2700 ,1800 , 4200,2600 ,1700 , 4000,2600 ,1600 , 4000,2400 ,1500 , 3900
Eastern,10 000 ,6800 , 17 000,16 000 ,11 000 , 23 000,22 000 ,15 000 , 31 000,25 000 ,18 000 , 35 000,25 000 ,17 000 , 36 000,21 000 ,14 000 , 31 000,15 000 ,10 000 , 22 000,12 000 ,8600 , 17 000,10 000 ,7600 , 14 000,9000 ,7100 , 12 000,8200 ,6700 , 11 000,7400 ,6000 , 9800,7200 ,6000 , 9500,6700 ,5400 , 8800,6500 ,5300 , 8500,6200 ,5000 , 8200,5800 ,4700 , 7800,5700 ,4400 , 7700,5600 ,4200 , 7700,5500 ,4000 , 7400,5300 ,3800 , 7200,5100 ,3600 , 7400,4800 ,3200 , 7400,4700 ,3100 , 7100,4500 ,3000 , 6900,4000 ,2600 , 6300,3800 ,2300 , 6100,3400 ,2100 , 5500,3200 ,1900 , 5300,2900 ,1700 , 5000,2800 ,1500 , 4700,2800 ,1500 , 4900
Nairobi,12 000 ,9900 , 15 000,13 000 ,10 000 , 16 000,13 000 ,11 000 , 17 000,13 000 ,11 000 , 17 000,12 000 ,9800 , 16 000,11 000 ,9100 , 15 000,10 000 ,8400 , 14 000,9400 ,7500 , 12 000,8500 ,6900 , 11 000,8000 ,6600 , 11 000,7500 ,6200 , 10 000,7000 ,5700 , 9600,6700 ,5500 , 9200,6500 ,5300 , 8800,6600 ,5500 , 8700,7500 ,6300 , 9700,8300 ,6900 , 11 000,7800 ,6100 , 10 000,7500 ,5900 , 9900,7400 ,5900 , 9700,6400 ,4900 , 8500,5600 ,4400 , 7500,4800 ,3600 , 6600,4100 ,3100 , 5800,2800 ,2000 , 4400,2700 ,2000 , 4200,2500 ,1700 , 4000,2400 ,1600 , 3900,2100 ,1500 , 3500,2100 ,1300 , 3500,2000 ,1200 , 3400,3400 ,1900 , 4800
North Eastern,1700 ,1200 , 2900,2100 ,1400 , 3800,2100 ,1500 , 3300,1700 ,1100 , 2500,1300 ,<1000 , 1900,<1000 ,<1000 , 1500,<1000 ,<500 , 1200,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<200 , <1000,<500 ,<200 , <500,<500 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<100 ,<100 , <500,<100 ,<100 , <500,<100 ,<100 , <500,<100 ,<100 , <500,<100 ,<100 , <500,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <500,<100 ,<100 , <500,<100 ,<100 , <500
Nyanza,43 000 ,33 000 , 55 000,51 000 ,39 000 , 65 000,55 000 ,42 000 , 70 000,57 000 ,44 000 , 70 000,55 000 ,43 000 , 67 000,52 000 ,43 000 , 63 000,46 000 ,38 000 , 56 000,42 000 ,35 000 , 51 000,38 000 ,32 000 , 45 000,34 000 ,29 000 , 40 000,31 000 ,26 000 , 36 000,28 000 ,24 000 , 33 000,27 000 ,23 000 , 32 000,25 000 ,21 000 , 30 000,24 000 ,21 000 , 29 000,23 000 ,20 000 , 29 000,23 000 ,19 000 , 28 000,23 000 ,19 000 , 28 000,22 000 ,19 000 , 28 000,22 000 ,18 000 , 27 000,22 000 ,18 000 , 27 000,20 000 ,17 000 , 25 000,19 000 ,15 000 , 24 000,17 000 ,14 000 , 24 000,16 000 ,13 000 , 22 000,15 000 ,12 000 , 20 000,13 000 ,9900 , 18 000,11 000 ,8300 , 15 000,9500 ,6700 , 13 000,9300 ,6500 , 13 000,9700 ,6900 , 14 000,9800 ,6700 , 14 000
Rift Valley,35 000 ,25 000 , 46 000,40 000 ,30 000 , 50 000,41 000 ,31 000 , 54 000,37 000 ,28 000 , 49 000,33 000 ,25 000 , 45 000,28 000 ,22 000 , 37 000,24 000 ,18 000 , 31 000,21 000 ,16 000 , 27 000,19 000 ,15 000 , 24 000,17 000 ,14 000 , 22 000,15 000 ,13 000 , 19 000,14 000 ,12 000 , 18 000,14 000 ,12 000 , 17 000,13 000 ,11 000 , 17 000,13 000 ,11 000 , 16 000,13 000 ,11 000 , 16 000,12 000 ,10 000 , 15 000,12 000 ,9600 , 15 000,11 000 ,9000 , 14 000,11 000 ,8900 , 14 000,11 000 ,8700 , 14 000,10 000 ,8300 , 14 000,10 000 ,8100 , 14 000,9900 ,7600 , 13 000,9500 ,7300 , 13 000,9000 ,6900 , 12 000,8600 ,6600 , 12 000,8000 ,5800 , 11 000,7600 ,5500 , 11 000,7600 ,5500 , 11 000,7700 ,5300 , 11 000,7100 ,4700 , 10 000
Western,19 000 ,15 000 , 24 000,22 000 ,16 000 , 28 000,22 000 ,16 000 , 30 000,20 000 ,15 000 , 27 000,17 000 ,13 000 , 22 000,14 000 ,11 000 , 18 000,11 000 ,8600 , 15 000,9500 ,6800 , 12 000,7900 ,5900 , 10 000,6900 ,5300 , 9300,6400 ,5000 , 8600,5800 ,4600 , 7900,5500 ,4400 , 7300,5200 ,4200 , 6800,5000 ,4100 , 6400,4800 ,3900 , 6200,4400 ,3500 , 5700,4500 ,3600 , 5900,4600 ,3600 , 6000,4500 ,3600 , 6200,4400 ,3500 , 6000,4300 ,3500 , 6000,4200 ,3200 , 5900,4000 ,3100 , 5700,4000 ,3000 , 5700,4000 ,3000 , 5800,3300 ,2300 , 4900,2700 ,1900 , 4100,2700 ,1800 , 4000,2700 ,1800 , 4000,2600 ,1700 , 3700,2600 ,1700 , 3900
National,150 000 ,97 000,230 000,180 000 ,120 000,270 000,200 000 ,120 000,300 000,190 000 ,120 000,290 000,180 000 ,110 000,270 000,160 000 ,99 000,240 000,130 000 ,84 000,200 000,110 000 ,73 000,170 000,100 000 ,64 000,150 000,90 000 ,57 000,140 000,81 000 ,52 000,120 000,75 000 ,48 000,110 000,72 000 ,46 000,110 000,68 000 ,43 000,100 000,66 000 ,42 000,100 000,65 000 ,41 000,98 000,62 000 ,40 000,94 000,61 000 ,39 000,93 000,59 000 ,38 000,90 000,58 000 ,37 000,89 000,56 000 ,36 000,85 000,53 000 ,34 000,80 000,49 000 ,31 000,75 000,46 000 ,29 000,70 000,43 000 ,27 000,65 000,40 000 ,25 000,60 000,36 000 ,23 000,55 000,32 000 ,21 000,49 000,29 000 ,19 000,44 000,29 000 ,18 000,43 000,29 000 ,18 000,44 000,29 000 ,19 000,45 000
