States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper, 2020,2020_lower, 2020_upper, 2021,2021_lower, 2021_upper
Central,2400 ,<1000 , 5300,3400 ,<1000 , 7200,4100 ,<1000 , 8700,4300 ,<1000 , 8400,3900 ,<1000 , 7800,3200 ,<1000 , 6200,2500 ,<1000 , 4800,2000 ,<1000 , 3700,1600 ,<500 , 2900,1400 ,<500 , 2500,1300 ,<500 , 2200,1100 ,<500 , 2000,1100 ,<500 , 1900,<1000 ,<500 , 1800,<1000 ,<500 , 1700,<1000 ,<500 , 1500,<1000 ,<500 , 1300,<1000 ,<200 , 1200,<1000 ,<200 , 1100,<1000 ,<200 , 1100,<1000 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500
Coast,3400 ,<1000 , 6600,3600 ,1000 , 7100,3600 ,1000 , 7100,3500 ,1100 , 6600,3100 ,<1000 , 6100,2600 ,<1000 , 5200,2400 ,<1000 , 4500,2100 ,<1000 , 3800,1800 ,<1000 , 3300,1600 ,<1000 , 2800,1500 ,<500 , 2600,1400 ,<500 , 2400,1300 ,<500 , 2300,1200 ,<500 , 2100,1100 ,<500 , 2000,1000 ,<500 , 1900,<1000 ,<500 , 1700,<1000 ,<500 , 1600,<1000 ,<500 , 1500,<1000 ,<500 , 1500,<1000 ,<500 , 1300,<1000 ,<500 , 1300,<1000 ,<500 , 1100,<1000 ,<500 , 1000,<1000 ,<200 , 1000,<1000 ,<200 , <1000,<1000 ,<200 , <1000,<1000 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000
Eastern,1700 ,<500 , 3400,2700 ,<1000 , 5200,3700 ,<1000 , 7300,4300 ,<1000 , 8700,4300 ,<1000 , 8700,3600 ,<1000 , 7100,2700 ,<1000 , 5100,2200 ,<1000 , 4100,1800 ,<500 , 3400,1600 ,<500 , 3000,1400 ,<500 , 2600,1300 ,<500 , 2300,1300 ,<500 , 2300,1100 ,<500 , 2000,1100 ,<500 , 1900,1000 ,<500 , 1800,<1000 ,<500 , 1700,<1000 ,<500 , 1600,<1000 ,<500 , 1600,<1000 ,<500 , 1500,<1000 ,<500 , 1400,<1000 ,<500 , 1400,<1000 ,<200 , 1300,<1000 ,<200 , 1300,<1000 ,<200 , 1200,<1000 ,<200 , 1100,<1000 ,<200 , <1000,<1000 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000
Nairobi,1200 ,<500 , 2100,1300 ,<500 , 2400,1300 ,<500 , 2400,1300 ,<500 , 2300,1300 ,<500 , 2200,1200 ,<500 , 2000,1100 ,<500 , 1900,1000 ,<500 , 1700,<1000 ,<500 , 1500,<1000 ,<500 , 1500,<1000 ,<500 , 1400,<1000 ,<500 , 1300,<1000 ,<500 , 1200,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1300,<1000 ,<500 , 1400,<1000 ,<500 , 1300,<1000 ,<500 , 1200,<1000 ,<200 , 1100,<1000 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<200 , <1000
North Eastern,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Nyanza,10 000 ,3100 , 21 000,13 000 ,3600 , 24 000,14 000 ,4100 , 25 000,14 000 ,4600 , 25 000,14 000 ,4500 , 25 000,14 000 ,4600 , 23 000,13 000 ,4100 , 21 000,12 000 ,3700 , 20 000,11 000 ,3300 , 19 000,9600 ,3000 , 17 000,8600 ,2500 , 15 000,7900 ,2500 , 14 000,7500 ,2300 , 13 000,6800 ,2100 , 12 000,6600 ,2000 , 12 000,6200 ,1900 , 11 000,6000 ,1900 , 11 000,5900 ,1800 , 11 000,5600 ,1700 , 10 000,5500 ,1800 , 10 000,5300 ,1800 , 9500,4900 ,1600 , 9000,4500 ,1500 , 8300,4200 ,1400 , 7300,3800 ,1300 , 6700,3500 ,1200 , 6100,3000 ,1000 , 5000,2600 ,<1000 , 4200,2100 ,<1000 , 3400,2100 ,<1000 , 3300,2100 ,<1000 , 3400,2100 ,<1000 , 3500
Rift Valley,7100 ,2200 , 14 000,8200 ,2400 , 16 000,8500 ,2500 , 16 000,7800 ,2200 , 14 000,7100 ,1900 , 13 000,6100 ,1700 , 11 000,5200 ,1400 , 9600,4500 ,1300 , 8500,4000 ,1200 , 7400,3700 ,1100 , 6700,3200 ,<1000 , 5800,3100 ,<1000 , 5500,3000 ,<1000 , 5200,2800 ,<1000 , 4900,2700 ,<1000 , 4700,2700 ,<1000 , 4800,2500 ,<1000 , 4500,2400 ,<1000 , 4300,2200 ,<1000 , 4000,2200 ,<1000 , 4100,2200 ,<1000 , 3900,2100 ,<1000 , 3600,2000 ,<1000 , 3600,1900 ,<1000 , 3300,1900 ,<1000 , 3100,1800 ,<1000 , 3000,1700 ,<1000 , 2700,1600 ,<1000 , 2500,1500 ,<500 , 2400,1500 ,<500 , 2400,1500 ,<500 , 2500,1300 ,<500 , 2200
Western,3400 ,<1000 , 6600,3900 ,1100 , 7600,4000 ,1100 , 8300,3700 ,1100 , 7900,3200 ,<1000 , 6800,2700 ,<1000 , 5000,2200 ,<1000 , 4100,1900 ,<1000 , 3300,1600 ,<1000 , 2800,1400 ,<500 , 2400,1300 ,<500 , 2200,1100 ,<500 , 1900,1100 ,<500 , 1900,<1000 ,<500 , 1800,<1000 ,<500 , 1700,<1000 ,<500 , 1600,<1000 ,<500 , 1500,<1000 ,<500 , 1500,<1000 ,<500 , 1500,<1000 ,<500 , 1500,<1000 ,<500 , 1400,<1000 ,<500 , 1400,<1000 ,<500 , 1300,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000
National,30 000 ,9500,51 000,36 000 ,11 000,61 000,39 000 ,13 000,67 000,40 000 ,13 000,67 000,37 000 ,12 000,64 000,33 000 ,11 000,57 000,29 000 ,9200,49 000,25 000 ,8200,43 000,22 000 ,7200,38 000,20 000 ,6500,34 000,18 000 ,5800,31 000,17 000 ,5400,29 000,16 000 ,5100,27 000,15 000 ,4700,25 000,14 000 ,4500,24 000,13 000 ,4300,23 000,13 000 ,4000,21 000,12 000 ,3900,21 000,12 000 ,3700,20 000,11 000 ,3600,19 000,11 000 ,3400,18 000,10 000 ,3200,17 000,9500 ,3000,16 000,8800 ,2800,15 000,8200 ,2600,14 000,7700 ,2500,13 000,6800 ,2200,12 000,6100 ,2000,10 000,5500 ,1800,9300,5400 ,1700,9100,5400 ,1700,9100,5300 ,1700,9100
