States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper, 2020,2020_lower, 2020_upper, 2021,2021_lower, 2021_upper
Central,1800 ,1100 , 2600,2600 ,1800 , 3700,3400 ,2500 , 5000,4100 ,3100 , 5500,4500 ,3400 , 5800,4600 ,3600 , 5800,4700 ,3500 , 5900,4600 ,3500 , 5800,4500 ,3400 , 5600,4300 ,3300 , 5400,4200 ,3100 , 5100,3900 ,3000 , 5000,3700 ,2800 , 4600,3400 ,2700 , 4300,3200 ,2400 , 3900,2900 ,2200 , 3600,2700 ,2000 , 3400,2500 ,1800 , 3000,2100 ,1600 , 2700,2000 ,1500 , 2500,1800 ,1300 , 2200,1500 ,1000 , 1900,1400 ,1000 , 1800,<1000 ,<1000 , 1300,<1000 ,<500 , 1100,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<200 , <500
Coast,2700 ,1900 , 3600,3000 ,2300 , 4000,3300 ,2600 , 4200,3500 ,2800 , 4500,3600 ,2900 , 4500,3600 ,2900 , 4500,3600 ,2900 , 4500,3600 ,2900 , 4400,3500 ,2800 , 4200,3400 ,2800 , 4200,3300 ,2700 , 4000,3200 ,2600 , 3800,3100 ,2500 , 3700,2900 ,2400 , 3400,2700 ,2200 , 3200,2500 ,2000 , 2900,2200 ,1800 , 2700,2000 ,1700 , 2500,1400 ,1000 , 1800,1400 ,1000 , 1800,1200 ,<1000 , 1600,<1000 ,<1000 , 1300,1100 ,<1000 , 1400,1000 ,<1000 , 1400,<1000 ,<1000 , 1100,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000
Eastern,1500 ,<1000 , 2500,2300 ,1500 , 3400,3300 ,2300 , 4800,4200 ,3000 , 5600,4800 ,3600 , 6500,5000 ,3900 , 6500,5000 ,4000 , 6500,5000 ,4100 , 6300,5000 ,4000 , 6300,4900 ,3900 , 6000,4800 ,3900 , 5900,4600 ,3800 , 5800,4400 ,3600 , 5500,4200 ,3400 , 5300,3900 ,3200 , 4800,3500 ,2800 , 4200,3100 ,2400 , 3800,2700 ,2100 , 3500,2200 ,1600 , 2800,2100 ,1500 , 2700,1700 ,1200 , 2200,1300 ,<1000 , 1800,1400 ,1000 , 1900,1200 ,<1000 , 1500,<1000 ,<1000 , 1300,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000
Nairobi,1400 ,1200 , 1700,1700 ,1400 , 2000,1900 ,1600 , 2300,2200 ,1800 , 2600,2300 ,2000 , 2800,2500 ,2100 , 3000,2700 ,2200 , 3100,2800 ,2200 , 3300,2800 ,2300 , 3400,2900 ,2400 , 3500,2900 ,2300 , 3500,2900 ,2300 , 3400,2900 ,2200 , 3400,2800 ,2300 , 3400,2800 ,2200 , 3400,2600 ,2000 , 3100,2500 ,1900 , 3200,2400 ,1900 , 3000,1700 ,1400 , 2200,1700 ,1400 , 2200,1800 ,1300 , 2500,1500 ,<1000 , 2000,1600 ,1100 , 2300,1100 ,<1000 , 1600,1000 ,<1000 , 1600,<1000 ,<1000 , 1500,<500 ,<500 , <1000,<1000 ,<500 , 1100,<1000 ,<500 , 1200,<1000 ,<500 , 1100,<1000 ,<500 , <1000,<500 ,<500 , <1000
North Eastern,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500
Nyanza,8000 ,5900 , 11 000,10 000 ,7900 , 13 000,12 000 ,9500 , 15 000,14 000 ,11 000 , 17 000,15 000 ,12 000 , 19 000,17 000 ,14 000 , 20 000,17 000 ,15 000 , 21 000,18 000 ,15 000 , 21 000,18 000 ,15 000 , 21 000,18 000 ,15 000 , 21 000,18 000 ,15 000 , 21 000,17 000 ,14 000 , 20 000,17 000 ,14 000 , 19 000,16 000 ,14 000 , 19 000,15 000 ,13 000 , 18 000,14 000 ,12 000 , 16 000,13 000 ,10 000 , 15 000,11 000 ,9500 , 13 000,6500 ,5400 , 8300,5900 ,5200 , 7400,5800 ,4700 , 7400,4200 ,3200 , 5600,4800 ,3500 , 6000,5600 ,4400 , 6900,4800 ,3500 , 5900,2300 ,1800 , 3400,2200 ,1600 , 3200,2100 ,1500 , 3000,2500 ,1700 , 3400,2600 ,1600 , 3600,2500 ,1700 , 3500,1600 ,1300 , 2600
Rift Valley,5400 ,3900 , 7200,6700 ,5100 , 8500,7700 ,6100 , 9700,8300 ,6600 , 10 000,8800 ,7400 , 11 000,9000 ,7500 , 11 000,9000 ,7400 , 11 000,9000 ,7400 , 11 000,8800 ,7000 , 10 000,8600 ,6900 , 10 000,8200 ,6700 , 9800,7900 ,6300 , 9500,7500 ,6200 , 8900,7100 ,5900 , 8500,6500 ,5400 , 7600,5800 ,4800 , 7000,5200 ,4300 , 6300,4600 ,3800 , 5500,3700 ,2900 , 4600,3600 ,2900 , 4400,2900 ,2300 , 3700,2500 ,1700 , 3200,2700 ,2000 , 3400,2400 ,1800 , 3100,2100 ,1400 , 2700,1600 ,1000 , 2200,1500 ,<1000 , 2000,1800 ,1100 , 2300,1000 ,<1000 , 1600,1100 ,<1000 , 1600,1000 ,<1000 , 1600,1300 ,<1000 , 1900
Western,3500 ,2600 , 4400,4300 ,3400 , 5400,4900 ,4000 , 6300,5300 ,4500 , 6800,5600 ,4800 , 7100,5700 ,4700 , 7100,5700 ,4700 , 7000,5600 ,4500 , 6800,5400 ,4400 , 6600,5200 ,4200 , 6300,4900 ,3900 , 5800,4600 ,3800 , 5600,4300 ,3600 , 5200,4000 ,3400 , 4900,3700 ,3100 , 4500,3400 ,2700 , 4000,3000 ,2400 , 3600,2800 ,2200 , 3300,2000 ,1400 , 2500,1900 ,1400 , 2400,1600 ,1100 , 2100,1100 ,<1000 , 1500,1300 ,<1000 , 1600,1300 ,1000 , 1800,1100 ,<1000 , 1400,<1000 ,<1000 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000
National,25 000 ,17 000,39 000,31 000 ,22 000,50 000,37 000 ,26 000,59 000,42 000 ,29 000,67 000,46 000 ,32 000,73 000,48 000 ,33 000,76 000,49 000 ,34 000,78 000,49 000 ,34 000,78 000,49 000 ,34 000,78 000,48 000 ,33 000,76 000,46 000 ,32 000,74 000,45 000 ,31 000,71 000,43 000 ,30 000,68 000,41 000 ,28 000,65 000,38 000 ,26 000,61 000,35 000 ,24 000,55 000,32 000 ,22 000,50 000,29 000 ,20 000,46 000,20 000 ,14 000,32 000,19 000 ,13 000,30 000,17 000 ,12 000,27 000,13 000 ,9100,21 000,15 000 ,10 000,23 000,14 000 ,9500,22 000,12 000 ,8000,18 000,7100 ,4900,11 000,6500 ,4500,10 000,7200 ,4900,11 000,6100 ,4200,9700,6200 ,4300,9900,6000 ,4100,9600,5200 ,3600,8200
