States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper, 2020,2020_lower, 2020_upper, 2021,2021_lower, 2021_upper
Central,<1000 ,<500 , 1800,1100 ,<500 , 2600,1400 ,<1000 , 2900,1400 ,<1000 , 3000,1200 ,<1000 , 2600,1000 ,<500 , 2000,<1000 ,<500 , 1500,<1000 ,<500 , 1300,<500 ,<500 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500
Coast,1100 ,<1000 , 2500,1200 ,<1000 , 2500,1100 ,<1000 , 2300,1000 ,<1000 , 2100,<1000 ,<500 , 1800,<1000 ,<500 , 1400,<1000 ,<500 , 1300,<1000 ,<500 , 1100,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<100 , <500,<500 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500
Eastern,<1000 ,<500 , 1400,<1000 ,<500 , 1900,1100 ,<500 , 2500,1300 ,<1000 , 3000,1300 ,<1000 , 2900,1000 ,<500 , 2500,<1000 ,<500 , 1800,<1000 ,<500 , 1300,<1000 ,<500 , 1100,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<200 ,<100 , <1000,<200 ,<100 , <1000,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500
Nairobi,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , 1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<200 ,<100 , <1000,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<200 ,<100 , <1000,<200 ,<100 , <1000,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<100 ,<100 , <500,<100 ,<100 , <500,<100 ,<100 , <500,<100 ,<100 , <500,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <500
North Eastern,<100 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Nyanza,2700 ,1200 , 5900,3200 ,1400 , 6600,3500 ,1500 , 6900,3500 ,1500 , 7000,3400 ,1500 , 6700,3200 ,1500 , 6100,2800 ,1300 , 5300,2500 ,1200 , 4900,2200 ,1100 , 4300,2000 ,<1000 , 3700,1700 ,<1000 , 3300,1600 ,<1000 , 3000,1500 ,<1000 , 2800,1400 ,<1000 , 2600,1300 ,<1000 , 2500,1300 ,<1000 , 2400,1200 ,<1000 , 2400,1200 ,<1000 , 2400,1200 ,<1000 , 2400,1200 ,<500 , 2400,1100 ,<500 , 2400,1100 ,<500 , 2300,<1000 ,<500 , 2200,<1000 ,<500 , 1900,<1000 ,<500 , 1800,<1000 ,<500 , 1600,<1000 ,<500 , 1400,<1000 ,<500 , 1300,<500 ,<500 , 1100,<500 ,<200 , 1000,<500 ,<500 , 1100,<500 ,<500 , 1100
Rift Valley,2000 ,<1000 , 4400,2200 ,<1000 , 4800,2200 ,1000 , 4900,2000 ,<1000 , 4300,1800 ,<1000 , 3500,1500 ,<1000 , 3000,1300 ,<1000 , 2500,1100 ,<500 , 2200,<1000 ,<500 , 2000,<1000 ,<500 , 1800,<1000 ,<500 , 1600,<1000 ,<500 , 1500,<1000 ,<500 , 1500,<1000 ,<500 , 1400,<1000 ,<500 , 1400,<1000 ,<500 , 1400,<1000 ,<500 , 1300,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<500 ,<500 , 1100,<500 ,<200 , 1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000
Western,1000 ,<500 , 2300,1200 ,<500 , 2400,1200 ,<500 , 2600,1000 ,<500 , 2100,<1000 ,<500 , 1700,<1000 ,<500 , 1400,<1000 ,<500 , 1200,<500 ,<500 , 1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<100 , <1000,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500
National,8600 ,3500,21 000,10 000 ,4100,25 000,11 000 ,4400,27 000,11 000 ,4300,26 000,9800 ,4000,24 000,8500 ,3400,21 000,7100 ,2900,17 000,6100 ,2500,15 000,5300 ,2100,13 000,4700 ,1900,12 000,4200 ,1700,10 000,3900 ,1600,9500,3700 ,1500,9100,3500 ,1400,8500,3400 ,1400,8200,3300 ,1300,7900,3100 ,1300,7600,3100 ,1200,7500,3000 ,1200,7300,2900 ,1200,7200,2800 ,1100,6900,2700 ,1100,6600,2500 ,1000,6100,2300 ,<1000,5700,2200 ,<1000,5400,2100 ,<1000,5000,1900 ,<1000,4600,1700 ,<1000,4100,1500 ,<1000,3700,1500 ,<1000,3700,1500 ,<1000,3700,1500 ,<1000,3700
