States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper, 2020,2020_lower, 2020_upper, 2021,2021_lower, 2021_upper
Central,6000 ,3200 , 9600,8100 ,4200 , 13 000,9500 ,5000 , 15 000,9400 ,5200 , 14 000,8400 ,4800 , 12 000,6700 ,3800 , 9800,5200 ,3000 , 7800,4100 ,2400 , 5900,3300 ,2100 , 4700,3000 ,1900 , 3900,2700 ,1800 , 3500,2500 ,1700 , 3100,2300 ,1600 , 2900,2200 ,1500 , 2800,2100 ,1400 , 2700,1800 ,1300 , 2400,1600 ,1100 , 2200,1600 ,1000 , 2100,1400 ,<1000 , 1900,1300 ,<1000 , 1800,1200 ,<1000 , 1700,1100 ,<1000 , 1600,<1000 ,<1000 , 1300,<1000 ,<1000 , 1200,<1000 ,<1000 , 1100,<1000 ,<500 , 1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000
Coast,7400 ,4100 , 10 000,7600 ,4400 , 11 000,7500 ,4500 , 10 000,7200 ,4300 , 10 000,6400 ,3700 , 9200,5500 ,3300 , 7600,4900 ,3100 , 6700,4300 ,2700 , 5700,3900 ,2500 , 4900,3400 ,2300 , 4200,3200 ,2200 , 3900,3000 ,2100 , 3700,2900 ,2000 , 3500,2700 ,1800 , 3300,2500 ,1700 , 3100,2400 ,1600 , 2900,2200 ,1500 , 2800,2100 ,1500 , 2700,1900 ,1300 , 2500,1900 ,1300 , 2400,1700 ,1200 , 2200,1700 ,1100 , 2200,1500 ,1100 , 2100,1400 ,1000 , 1900,1400 ,<1000 , 1900,1200 ,<1000 , 1600,1200 ,<1000 , 1600,1100 ,<1000 , 1600,1000 ,<1000 , 1500,<1000 ,<1000 , 1400,1000 ,<1000 , 1400,<1000 ,<1000 , 1400
Eastern,4300 ,2100 , 6900,6500 ,3400 , 9900,8800 ,4500 , 13 000,10 000 ,5500 , 16 000,10 000 ,5700 , 15 000,8500 ,4800 , 13 000,6500 ,3900 , 9900,5200 ,3200 , 7600,4200 ,2600 , 6000,3800 ,2500 , 5200,3500 ,2400 , 4500,3200 ,2200 , 4100,3100 ,2100 , 3900,2800 ,1900 , 3600,2700 ,1800 , 3400,2600 ,1700 , 3300,2400 ,1600 , 3000,2300 ,1600 , 3000,2300 ,1600 , 3000,2200 ,1500 , 2900,2000 ,1400 , 2700,2000 ,1300 , 2700,1800 ,1200 , 2500,1700 ,1200 , 2400,1700 ,1100 , 2300,1500 ,1000 , 2100,1400 ,<1000 , 2000,1300 ,<1000 , 1800,1200 ,<1000 , 1800,1100 ,<1000 , 1700,1000 ,<1000 , 1600,1000 ,<1000 , 1700
Nairobi,4400 ,2700 , 5600,4800 ,3100 , 6100,4900 ,3400 , 6400,4900 ,3400 , 6200,4600 ,3200 , 5600,4300 ,3100 , 5100,4000 ,3000 , 4700,3600 ,2800 , 4300,3300 ,2600 , 3900,3100 ,2400 , 3700,2900 ,2300 , 3500,2700 ,2200 , 3300,2600 ,2000 , 3100,2500 ,1900 , 3000,2500 ,1900 , 3000,2800 ,2000 , 3300,3000 ,2200 , 3700,2800 ,2100 , 3500,2700 ,2000 , 3400,2600 ,1900 , 3200,2200 ,1700 , 2700,1900 ,1500 , 2400,1600 ,1200 , 2000,1400 ,1100 , 1700,<1000 ,<1000 , 1200,<1000 ,<1000 , 1100,<1000 ,<1000 , 1000,<1000 ,<1000 , 1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,1000 ,<1000 , 1300
North Eastern,<1000 ,<500 , 1300,<1000 ,<500 , 1600,<1000 ,<500 , 1500,<1000 ,<500 , 1100,<1000 ,<500 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<200 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <100
Nyanza,20 000 ,11 000 , 29 000,24 000 ,13 000 , 33 000,26 000 ,15 000 , 35 000,27 000 ,16 000 , 36 000,27 000 ,16 000 , 35 000,26 000 ,16 000 , 33 000,23 000 ,14 000 , 30 000,22 000 ,13 000 , 28 000,20 000 ,12 000 , 25 000,18 000 ,11 000 , 23 000,16 000 ,10 000 , 20 000,15 000 ,9400 , 19 000,15 000 ,9300 , 18 000,13 000 ,8700 , 17 000,13 000 ,8600 , 16 000,12 000 ,8400 , 16 000,12 000 ,8200 , 15 000,12 000 ,8300 , 16 000,11 000 ,8000 , 15 000,11 000 ,7900 , 14 000,11 000 ,7800 , 14 000,10 000 ,7500 , 13 000,9400 ,6800 , 12 000,8600 ,6300 , 11 000,8000 ,5800 , 9900,7400 ,5400 , 9100,6200 ,4600 , 7700,5400 ,4000 , 6800,4500 ,3300 , 5800,4400 ,3200 , 5800,4500 ,3300 , 6100,4500 ,3200 , 6300
Rift Valley,16 000 ,8600 , 22 000,18 000 ,9700 , 25 000,18 000 ,9900 , 26 000,17 000 ,8800 , 23 000,15 000 ,8600 , 21 000,13 000 ,7900 , 18 000,11 000 ,7000 , 15 000,9800 ,6200 , 13 000,8700 ,5800 , 11 000,8000 ,5300 , 10 000,7100 ,4700 , 9000,6900 ,4600 , 8500,6600 ,4500 , 8100,6200 ,4200 , 7600,6000 ,4100 , 7400,6000 ,4100 , 7300,5600 ,3800 , 6900,5400 ,3700 , 6800,5100 ,3600 , 6500,5000 ,3500 , 6400,5000 ,3400 , 6300,4700 ,3300 , 6000,4600 ,3300 , 6000,4400 ,3200 , 5700,4200 ,3000 , 5400,3900 ,2800 , 5000,3800 ,2800 , 4600,3500 ,2500 , 4400,3300 ,2300 , 4300,3300 ,2400 , 4300,3300 ,2400 , 4400,3000 ,2200 , 4100
Western,8200 ,4500 , 12 000,9100 ,4800 , 14 000,9200 ,5000 , 13 000,8500 ,4900 , 13 000,7300 ,4400 , 11 000,6000 ,3700 , 8300,5100 ,3200 , 6600,4200 ,2700 , 5400,3600 ,2400 , 4600,3100 ,2200 , 3900,2900 ,2000 , 3600,2700 ,1900 , 3200,2500 ,1800 , 3100,2400 ,1700 , 2900,2300 ,1500 , 2800,2200 ,1500 , 2700,2000 ,1400 , 2500,2000 ,1400 , 2600,2000 ,1400 , 2600,2000 ,1400 , 2600,1900 ,1400 , 2500,1900 ,1400 , 2400,1800 ,1300 , 2300,1700 ,1200 , 2300,1700 ,1200 , 2200,1700 ,1200 , 2100,1400 ,<1000 , 1800,1100 ,<1000 , 1400,1100 ,<1000 , 1400,1100 ,<1000 , 1500,1100 ,<1000 , 1400,1100 ,<1000 , 1500
National,67 000 ,46 000,94 000,79 000 ,54 000,110 000,85 000 ,59 000,120 000,85 000 ,58 000,120 000,80 000 ,55 000,110 000,71 000 ,48 000,99 000,61 000 ,42 000,85 000,53 000 ,37 000,75 000,47 000 ,32 000,67 000,43 000 ,30 000,61 000,39 000 ,27 000,55 000,36 000 ,25 000,51 000,35 000 ,24 000,49 000,32 000 ,22 000,46 000,31 000 ,22 000,44 000,30 000 ,21 000,43 000,29 000 ,20 000,41 000,28 000 ,19 000,40 000,27 000 ,19 000,38 000,26 000 ,18 000,37 000,25 000 ,17 000,35 000,24 000 ,16 000,33 000,22 000 ,15 000,31 000,20 000 ,14 000,28 000,19 000 ,13 000,26 000,17 000 ,12 000,24 000,15 000 ,11 000,22 000,14 000 ,9400,19 000,12 000 ,8500,17 000,12 000 ,8300,17 000,12 000 ,8300,17 000,12 000 ,8300,17 000
