States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper, 2020,2020_lower, 2020_upper, 2021,2021_lower, 2021_upper
Central,16 000 ,11 000 , 23 000,22 000 ,15 000 , 32 000,26 000 ,19 000 , 38 000,27 000 ,19 000 , 37 000,25 000 ,19 000 , 33 000,22 000 ,17 000 , 28 000,17 000 ,14 000 , 23 000,15 000 ,12 000 , 19 000,12 000 ,10 000 , 16 000,11 000 ,9300 , 14 000,11 000 ,9100 , 12 000,9600 ,8300 , 11 000,8900 ,7700 , 11 000,8500 ,7400 , 10 000,8000 ,6800 , 9600,7200 ,6100 , 8700,6500 ,5400 , 7900,6200 ,5000 , 7700,5600 ,4500 , 7200,5300 ,4200 , 6900,4800 ,3700 , 6500,4300 ,3200 , 6100,3900 ,2800 , 5600,3100 ,2100 , 4700,2800 ,1800 , 4300,2600 ,1600 , 4200,2400 ,1400 , 4100,1800 ,<1000 , 3300,1800 ,<1000 , 3200,1800 ,<1000 , 3200,1700 ,<1000 , 2900,1500 ,<1000 , 2700
Coast,20 000 ,15 000 , 25 000,21 000 ,16 000 , 26 000,21 000 ,16 000 , 26 000,20 000 ,16 000 , 25 000,18 000 ,15 000 , 22 000,16 000 ,13 000 , 19 000,14 000 ,12 000 , 18 000,13 000 ,11 000 , 15 000,12 000 ,10 000 , 14 000,11 000 ,9300 , 13 000,10 000 ,9000 , 12 000,9800 ,8400 , 11 000,9300 ,8000 , 11 000,8800 ,7500 , 10 000,8300 ,7100 , 9800,7700 ,6600 , 9000,7300 ,6300 , 8600,6900 ,5900 , 8500,6000 ,4900 , 7500,5800 ,4800 , 7400,5500 ,4500 , 7100,5200 ,4200 , 7000,4900 ,3900 , 6700,4700 ,3600 , 6300,4300 ,3300 , 6100,3500 ,2600 , 5100,3500 ,2500 , 5200,3500 ,2500 , 5100,3000 ,2100 , 4700,3000 ,2000 , 4500,3000 ,1900 , 4600,2700 ,1700 , 4300
Eastern,12 000 ,7700 , 19 000,18 000 ,12 000 , 27 000,25 000 ,17 000 , 35 000,29 000 ,21 000 , 41 000,30 000 ,21 000 , 41 000,26 000 ,18 000 , 37 000,21 000 ,15 000 , 28 000,17 000 ,13 000 , 23 000,15 000 ,12 000 , 19 000,14 000 ,12 000 , 17 000,13 000 ,11 000 , 16 000,12 000 ,10 000 , 14 000,12 000 ,10 000 , 14 000,11 000 ,9300 , 13 000,10 000 ,8900 , 13 000,9700 ,8200 , 12 000,8900 ,7500 , 11 000,8400 ,7000 , 10 000,7800 ,6400 , 9900,7500 ,5900 , 9600,6900 ,5300 , 8700,6500 ,4800 , 8600,6200 ,4500 , 8700,5900 ,4100 , 8500,5400 ,3700 , 8000,4400 ,2900 , 6700,4300 ,2700 , 6500,4100 ,2600 , 6200,3600 ,2300 , 5900,3300 ,2000 , 5500,3100 ,1800 , 5200,3300 ,1900 , 5500
Nairobi,14 000 ,11 000 , 17 000,15 000 ,12 000 , 18 000,15 000 ,12 000 , 19 000,15 000 ,12 000 , 19 000,14 000 ,12 000 , 18 000,14 000 ,11 000 , 17 000,13 000 ,11 000 , 16 000,12 000 ,10 000 , 15 000,11 000 ,9400 , 14 000,11 000 ,9200 , 13 000,10 000 ,8900 , 13 000,9900 ,8600 , 12 000,9600 ,8300 , 12 000,9300 ,8100 , 12 000,9400 ,8200 , 12 000,10 000 ,8800 , 12 000,11 000 ,9400 , 13 000,10 000 ,8300 , 13 000,9200 ,7600 , 12 000,9100 ,7500 , 12 000,8200 ,6700 , 10 000,7100 ,5900 , 9200,6400 ,5200 , 8200,5200 ,4000 , 6800,3800 ,3000 , 5200,3700 ,2800 , 5000,3000 ,2200 , 4400,3100 ,2200 , 4400,2800 ,2000 , 4100,2800 ,1900 , 4200,2700 ,1700 , 3900,3800 ,2300 , 5200
North Eastern,2100 ,1400 , 3400,2600 ,1800 , 4400,2700 ,1900 , 4100,2400 ,1600 , 3400,1900 ,1300 , 2700,1600 ,1100 , 2400,1400 ,<1000 , 2000,1300 ,<1000 , 1900,1200 ,<1000 , 1700,1100 ,<1000 , 1600,1000 ,<1000 , 1500,<1000 ,<1000 , 1300,<1000 ,<1000 , 1200,<1000 ,<1000 , 1100,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <500,<200 ,<200 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <1000,<200 ,<100 , <500
Nyanza,51 000 ,38 000 , 67 000,62 000 ,48 000 , 77 000,68 000 ,52 000 , 84 000,70 000 ,55 000 , 86 000,70 000 ,57 000 , 85 000,69 000 ,58 000 , 81 000,63 000 ,54 000 , 74 000,60 000 ,51 000 , 70 000,56 000 ,48 000 , 65 000,52 000 ,46 000 , 60 000,48 000 ,42 000 , 55 000,45 000 ,40 000 , 51 000,44 000 ,39 000 , 49 000,41 000 ,37 000 , 46 000,39 000 ,35 000 , 45 000,37 000 ,33 000 , 43 000,35 000 ,32 000 , 41 000,34 000 ,31 000 , 40 000,29 000 ,25 000 , 35 000,28 000 ,24 000 , 34 000,27 000 ,24 000 , 32 000,25 000 ,21 000 , 29 000,24 000 ,20 000 , 28 000,23 000 ,19 000 , 29 000,21 000 ,17 000 , 26 000,17 000 ,14 000 , 23 000,15 000 ,12 000 , 20 000,13 000 ,11 000 , 18 000,12 000 ,9100 , 15 000,12 000 ,8900 , 15 000,12 000 ,9000 , 17 000,11 000 ,8000 , 17 000
Rift Valley,40 000 ,29 000 , 53 000,47 000 ,35 000 , 58 000,48 000 ,37 000 , 63 000,45 000 ,35 000 , 58 000,42 000 ,33 000 , 54 000,37 000 ,30 000 , 46 000,33 000 ,27 000 , 41 000,30 000 ,25 000 , 37 000,27 000 ,23 000 , 34 000,26 000 ,22 000 , 31 000,23 000 ,20 000 , 28 000,22 000 ,20 000 , 27 000,21 000 ,19 000 , 25 000,20 000 ,18 000 , 24 000,19 000 ,17 000 , 22 000,19 000 ,16 000 , 22 000,17 000 ,15 000 , 20 000,16 000 ,14 000 , 19 000,15 000 ,12 000 , 18 000,15 000 ,12 000 , 18 000,14 000 ,12 000 , 17 000,13 000 ,10 000 , 16 000,13 000 ,11 000 , 16 000,12 000 ,9700 , 15 000,12 000 ,9300 , 15 000,11 000 ,8300 , 14 000,10 000 ,7800 , 14 000,9800 ,7400 , 13 000,8700 ,6400 , 12 000,8700 ,6300 , 12 000,8800 ,6200 , 13 000,8400 ,5800 , 12 000
Western,23 000 ,18 000 , 28 000,26 000 ,20 000 , 34 000,27 000 ,20 000 , 36 000,25 000 ,20 000 , 33 000,23 000 ,18 000 , 30 000,19 000 ,16 000 , 24 000,17 000 ,14 000 , 21 000,15 000 ,12 000 , 18 000,13 000 ,11 000 , 16 000,12 000 ,10 000 , 14 000,11 000 ,9800 , 13 000,10 000 ,9100 , 12 000,9900 ,8500 , 12 000,9300 ,8100 , 11 000,8800 ,7600 , 10 000,8200 ,7000 , 9500,7400 ,6300 , 8700,7200 ,6100 , 8900,6600 ,5400 , 8300,6400 ,5200 , 8100,6000 ,4900 , 7900,5500 ,4400 , 7500,5500 ,4500 , 7200,5300 ,4300 , 7200,5100 ,4000 , 6900,4700 ,3600 , 6500,4000 ,3000 , 5800,3400 ,2500 , 4900,3200 ,2300 , 4500,3200 ,2300 , 4600,3100 ,2100 , 4400,3300 ,2200 , 4700
National,180 000 ,120 000,260 000,210 000 ,140 000,320 000,230 000 ,150 000,350 000,240 000 ,160 000,350 000,220 000 ,150 000,330 000,200 000 ,130 000,300 000,180 000 ,120 000,270 000,160 000 ,110 000,240 000,150 000 ,98 000,220 000,140 000 ,91 000,210 000,130 000 ,84 000,190 000,120 000 ,79 000,180 000,120 000 ,76 000,170 000,110 000 ,72 000,160 000,100 000 ,69 000,160 000,99 000 ,65 000,150 000,94 000 ,62 000,140 000,90 000 ,59 000,130 000,79 000 ,52 000,120 000,77 000 ,51 000,120 000,73 000 ,48 000,110 000,66 000 ,44 000,99 000,64 000 ,42 000,95 000,60 000 ,39 000,89 000,54 000 ,36 000,81 000,47 000 ,31 000,70 000,42 000 ,28 000,63 000,39 000 ,26 000,59 000,35 000 ,23 000,53 000,35 000 ,23 000,52 000,35 000 ,23 000,52 000,35 000 ,23 000,51 000
