States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper, 2020,2020_lower, 2020_upper, 2021,2021_lower, 2021_upper
Central,2800 ,1500 , 4500,4300 ,2700 , 6600,6100 ,4200 , 8700,8100 ,5900 , 11 000,10 000 ,7800 , 14 000,12 000 ,9400 , 16 000,14 000 ,11 000 , 18 000,16 000 ,13 000 , 20 000,17 000 ,14 000 , 21 000,19 000 ,15 000 , 22 000,20 000 ,16 000 , 24 000,21 000 ,16 000 , 25 000,21 000 ,17 000 , 26 000,22 000 ,17 000 , 26 000,22 000 ,17 000 , 27 000,22 000 ,17 000 , 26 000,21 000 ,17 000 , 26 000,20 000 ,16 000 , 25 000,19 000 ,15 000 , 23 000,18 000 ,14 000 , 22 000,17 000 ,13 000 , 21 000,16 000 ,12 000 , 19 000,15 000 ,12 000 , 18 000,14 000 ,11 000 , 17 000,13 000 ,9800 , 15 000,12 000 ,8800 , 14 000,11 000 ,8000 , 13 000,9600 ,7300 , 12 000,8700 ,6700 , 11 000,7900 ,6000 , 9700,7100 ,5400 , 8800,6300 ,4800 , 7900
Coast,5400 ,3500 , 7600,6800 ,4800 , 9100,8300 ,6100 , 11 000,9700 ,7400 , 13 000,11 000 ,8800 , 14 000,12 000 ,10 000 , 16 000,14 000 ,11 000 , 17 000,15 000 ,12 000 , 18 000,16 000 ,13 000 , 19 000,17 000 ,14 000 , 20 000,17 000 ,14 000 , 21 000,18 000 ,15 000 , 21 000,18 000 ,15 000 , 21 000,18 000 ,15 000 , 21 000,18 000 ,15 000 , 21 000,18 000 ,15 000 , 21 000,17 000 ,14 000 , 20 000,17 000 ,14 000 , 20 000,16 000 ,13 000 , 19 000,15 000 ,12 000 , 18 000,14 000 ,12 000 , 17 000,13 000 ,11 000 , 16 000,12 000 ,10 000 , 15 000,12 000 ,9700 , 14 000,11 000 ,8900 , 13 000,9800 ,8200 , 12 000,9100 ,7600 , 11 000,8500 ,7000 , 10 000,7700 ,6300 , 9400,7100 ,5800 , 8800,6500 ,5300 , 8200,5800 ,4700 , 7500
Eastern,2200 ,1200 , 3900,3500 ,2200 , 5800,5300 ,3600 , 8200,7500 ,5400 , 10 000,9900 ,7200 , 13 000,12 000 ,9100 , 16 000,14 000 ,11 000 , 19 000,16 000 ,13 000 , 21 000,18 000 ,14 000 , 23 000,19 000 ,16 000 , 25 000,21 000 ,17 000 , 27 000,22 000 ,18 000 , 28 000,23 000 ,19 000 , 29 000,24 000 ,20 000 , 30 000,24 000 ,20 000 , 30 000,24 000 ,20 000 , 30 000,24 000 ,20 000 , 29 000,23 000 ,19 000 , 28 000,22 000 ,18 000 , 26 000,21 000 ,17 000 , 26 000,20 000 ,17 000 , 24 000,19 000 ,15 000 , 23 000,17 000 ,14 000 , 21 000,16 000 ,13 000 , 20 000,15 000 ,12 000 , 18 000,14 000 ,11 000 , 17 000,13 000 ,10 000 , 15 000,12 000 ,9600 , 14 000,10 000 ,8800 , 13 000,9500 ,7900 , 12 000,8500 ,7000 , 10 000,7700 ,6200 , 9700
Nairobi,2800 ,2200 , 3500,3600 ,3000 , 4400,4600 ,3800 , 5500,5600 ,4700 , 6700,6800 ,5700 , 8000,8000 ,6800 , 9400,9300 ,7800 , 11 000,10 000 ,8800 , 12 000,12 000 ,9600 , 13 000,13 000 ,10 000 , 15 000,13 000 ,11 000 , 16 000,14 000 ,12 000 , 17 000,15 000 ,12 000 , 17 000,15 000 ,12 000 , 18 000,15 000 ,13 000 , 18 000,15 000 ,13 000 , 18 000,15 000 ,13 000 , 18 000,15 000 ,12 000 , 18 000,15 000 ,12 000 , 18 000,15 000 ,12 000 , 17 000,14 000 ,11 000 , 17 000,14 000 ,11 000 , 17 000,14 000 ,11 000 , 17 000,13 000 ,10 000 , 16 000,13 000 ,10 000 , 16 000,13 000 ,9600 , 16 000,12 000 ,9100 , 15 000,11 000 ,8600 , 14 000,11 000 ,8100 , 14 000,10 000 ,7500 , 13 000,9600 ,6900 , 13 000,8800 ,6300 , 12 000
North Eastern,<500 ,<500 , <1000,<1000 ,<1000 , 1100,1000 ,<1000 , 1500,1300 ,1000 , 1900,1600 ,1200 , 2300,1800 ,1400 , 2700,2100 ,1600 , 3000,2300 ,1800 , 3300,2500 ,1900 , 3500,2700 ,2100 , 3700,2800 ,2200 , 4000,2900 ,2200 , 4200,3000 ,2300 , 4200,3000 ,2300 , 4300,3000 ,2300 , 4300,2900 ,2200 , 4200,2800 ,2100 , 4000,2600 ,1900 , 3800,2400 ,1800 , 3500,2300 ,1600 , 3300,2100 ,1500 , 3000,1900 ,1400 , 2800,1800 ,1300 , 2500,1600 ,1100 , 2300,1500 ,1000 , 2100,1300 ,<1000 , 1900,1200 ,<1000 , 1700,1100 ,<1000 , 1500,<1000 ,<1000 , 1400,<1000 ,<1000 , 1300,<1000 ,<1000 , 1300,<1000 ,<1000 , 1200
Nyanza,14 000 ,9500 , 20 000,20 000 ,14 000 , 27 000,25 000 ,19 000 , 35 000,32 000 ,25 000 , 42 000,39 000 ,31 000 , 50 000,45 000 ,36 000 , 57 000,52 000 ,42 000 , 64 000,58 000 ,48 000 , 71 000,65 000 ,54 000 , 77 000,70 000 ,59 000 , 84 000,75 000 ,63 000 , 90 000,80 000 ,67 000 , 95 000,85 000 ,72 000 , 100 000,90 000 ,76 000 , 110 000,93 000 ,79 000 , 110 000,95 000 ,81 000 , 110 000,95 000 ,82 000 , 110 000,94 000 ,81 000 , 110 000,89 000 ,77 000 , 100 000,84 000 ,72 000 , 97 000,78 000 ,68 000 , 90 000,71 000 ,62 000 , 82 000,66 000 ,57 000 , 75 000,62 000 ,52 000 , 70 000,57 000 ,48 000 , 65 000,52 000 ,44 000 , 59 000,47 000 ,40 000 , 54 000,43 000 ,36 000 , 49 000,39 000 ,33 000 , 46 000,36 000 ,30 000 , 43 000,33 000 ,28 000 , 40 000,30 000 ,25 000 , 37 000
Rift Valley,9800 ,7000 , 14 000,13 000 ,9900 , 18 000,17 000 ,13 000 , 22 000,21 000 ,16 000 , 27 000,24 000 ,20 000 , 31 000,28 000 ,23 000 , 35 000,31 000 ,26 000 , 39 000,34 000 ,29 000 , 42 000,37 000 ,31 000 , 45 000,40 000 ,34 000 , 48 000,42 000 ,35 000 , 50 000,43 000 ,37 000 , 52 000,44 000 ,38 000 , 52 000,45 000 ,38 000 , 53 000,45 000 ,38 000 , 53 000,44 000 ,37 000 , 52 000,43 000 ,36 000 , 50 000,41 000 ,35 000 , 48 000,39 000 ,33 000 , 45 000,36 000 ,31 000 , 43 000,34 000 ,29 000 , 40 000,32 000 ,27 000 , 37 000,30 000 ,25 000 , 34 000,28 000 ,23 000 , 33 000,26 000 ,21 000 , 30 000,24 000 ,20 000 , 28 000,22 000 ,18 000 , 26 000,21 000 ,17 000 , 24 000,19 000 ,16 000 , 22 000,17 000 ,14 000 , 21 000,16 000 ,13 000 , 19 000,15 000 ,12 000 , 18 000
Western,6100 ,3900 , 8300,8300 ,5900 , 11 000,11 000 ,7900 , 13 000,13 000 ,10 000 , 16 000,15 000 ,12 000 , 19 000,17 000 ,14 000 , 21 000,19 000 ,16 000 , 24 000,21 000 ,17 000 , 26 000,23 000 ,19 000 , 27 000,24 000 ,20 000 , 29 000,25 000 ,21 000 , 30 000,26 000 ,21 000 , 31 000,26 000 ,22 000 , 32 000,26 000 ,22 000 , 32 000,26 000 ,22 000 , 32 000,26 000 ,21 000 , 31 000,25 000 ,21 000 , 29 000,24 000 ,20 000 , 28 000,22 000 ,18 000 , 26 000,21 000 ,17 000 , 24 000,19 000 ,16 000 , 22 000,18 000 ,15 000 , 21 000,17 000 ,14 000 , 19 000,16 000 ,13 000 , 18 000,15 000 ,12 000 , 17 000,13 000 ,11 000 , 16 000,12 000 ,10 000 , 14 000,11 000 ,9200 , 13 000,10 000 ,8400 , 12 000,9700 ,7700 , 12 000,8800 ,6900 , 11 000,8200 ,6200 , 10 000
National,44 000 ,35 000,55 000,60 000 ,48 000,75 000,78 000 ,62 000,98 000,98 000 ,78 000,120 000,120 000 ,94 000,150 000,140 000 ,110 000,170 000,160 000 ,120 000,190 000,170 000 ,140 000,220 000,190 000 ,150 000,240 000,200 000 ,160 000,250 000,220 000 ,170 000,270 000,230 000 ,180 000,280 000,240 000 ,190 000,290 000,240 000 ,190 000,300 000,250 000 ,200 000,310 000,250 000 ,200 000,310 000,240 000 ,190 000,300 000,240 000 ,190 000,290 000,220 000 ,180 000,280 000,210 000 ,170 000,260 000,200 000 ,160 000,250 000,180 000 ,150 000,230 000,170 000 ,140 000,210 000,160 000 ,130 000,200 000,150 000 ,120 000,190 000,140 000 ,110 000,170 000,130 000 ,100 000,160 000,120 000 ,93 000,150 000,110 000 ,85 000,130 000,99 000 ,79 000,120 000,91 000 ,72 000,110 000,83 000 ,66 000,100 000
