States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper, 2020,2020_lower, 2020_upper, 2021,2021_lower, 2021_upper
Central,32 000 ,20 000 , 50 000,49 000 ,34 000 , 70 000,69 000 ,51 000 , 96 000,89 000 ,67 000 , 120 000,110 000 ,82 000 , 140 000,120 000 ,94 000 , 150 000,120 000 ,100 000 , 150 000,130 000 ,110 000 , 150 000,130 000 ,110 000 , 150 000,130 000 ,110 000 , 150 000,120 000 ,100 000 , 140 000,120 000 ,100 000 , 140 000,110 000 ,98 000 , 130 000,110 000 ,94 000 , 130 000,100 000 ,91 000 , 120 000,98 000 ,86 000 , 110 000,94 000 ,83 000 , 110 000,91 000 ,81 000 , 100 000,89 000 ,80 000 , 99 000,87 000 ,79 000 , 97 000,86 000 ,78 000 , 95 000,86 000 ,78 000 , 94 000,85 000 ,78 000 , 93 000,85 000 ,77 000 , 92 000,84 000 ,77 000 , 92 000,83 000 ,76 000 , 91 000,81 000 ,74 000 , 90 000,79 000 ,72 000 , 88 000,77 000 ,70 000 , 86 000,75 000 ,68 000 , 83 000,73 000 ,66 000 , 81 000,71 000 ,64 000 , 79 000
Coast,60 000 ,41 000 , 81 000,74 000 ,55 000 , 96 000,88 000 ,68 000 , 110 000,99 000 ,78 000 , 120 000,110 000 ,88 000 , 130 000,110 000 ,94 000 , 140 000,120 000 ,100 000 , 140 000,120 000 ,100 000 , 140 000,120 000 ,100 000 , 140 000,120 000 ,100 000 , 140 000,120 000 ,99 000 , 130 000,110 000 ,98 000 , 130 000,110 000 ,96 000 , 120 000,110 000 ,92 000 , 120 000,100 000 ,89 000 , 110 000,98 000 ,86 000 , 110 000,96 000 ,85 000 , 110 000,94 000 ,84 000 , 110 000,93 000 ,83 000 , 100 000,93 000 ,83 000 , 100 000,92 000 ,83 000 , 100 000,92 000 ,83 000 , 100 000,92 000 ,83 000 , 100 000,92 000 ,83 000 , 100 000,91 000 ,83 000 , 100 000,91 000 ,83 000 , 100 000,90 000 ,82 000 , 99 000,89 000 ,81 000 , 99 000,88 000 ,80 000 , 98 000,87 000 ,79 000 , 98 000,86 000 ,78 000 , 97 000,84 000 ,76 000 , 95 000
Eastern,23 000 ,13 000 , 40 000,37 000 ,24 000 , 58 000,56 000 ,38 000 , 80 000,78 000 ,55 000 , 110 000,99 000 ,73 000 , 130 000,110 000 ,88 000 , 150 000,120 000 ,98 000 , 160 000,130 000 ,110 000 , 160 000,130 000 ,110 000 , 170 000,130 000 ,110 000 , 170 000,130 000 ,110 000 , 160 000,130 000 ,110 000 , 160 000,130 000 ,110 000 , 150 000,120 000 ,100 000 , 150 000,120 000 ,100 000 , 140 000,110 000 ,99 000 , 130 000,110 000 ,97 000 , 130 000,110 000 ,95 000 , 120 000,110 000 ,95 000 , 120 000,110 000 ,95 000 , 120 000,110 000 ,95 000 , 120 000,110 000 ,96 000 , 120 000,110 000 ,96 000 , 120 000,110 000 ,97 000 , 120 000,110 000 ,96 000 , 120 000,110 000 ,96 000 , 120 000,110 000 ,95 000 , 120 000,110 000 ,95 000 , 120 000,110 000 ,94 000 , 120 000,100 000 ,93 000 , 120 000,100 000 ,92 000 , 120 000,100 000 ,90 000 , 120 000
Nairobi,47 000 ,39 000 , 57 000,59 000 ,49 000 , 69 000,70 000 ,60 000 , 83 000,81 000 ,70 000 , 95 000,90 000 ,77 000 , 110 000,98 000 ,84 000 , 110 000,100 000 ,89 000 , 120 000,110 000 ,93 000 , 120 000,110 000 ,96 000 , 130 000,110 000 ,97 000 , 130 000,110 000 ,97 000 , 130 000,110 000 ,98 000 , 130 000,110 000 ,97 000 , 130 000,110 000 ,96 000 , 130 000,110 000 ,95 000 , 120 000,110 000 ,97 000 , 130 000,110 000 ,99 000 , 130 000,110 000 ,100 000 , 130 000,120 000 ,110 000 , 140 000,120 000 ,110 000 , 140 000,120 000 ,110 000 , 140 000,120 000 ,110 000 , 140 000,130 000 ,110 000 , 140 000,130 000 ,110 000 , 150 000,130 000 ,110 000 , 150 000,130 000 ,110 000 , 140 000,120 000 ,110 000 , 140 000,120 000 ,110 000 , 140 000,120 000 ,110 000 , 140 000,120 000 ,110 000 , 140 000,120 000 ,100 000 , 140 000,120 000 ,100 000 , 140 000
North Eastern,3800 ,2500 , 6000,5700 ,4200 , 8900,7600 ,5600 , 11 000,8900 ,6700 , 13 000,9800 ,7400 , 14 000,10 000 ,7700 , 14 000,10 000 ,7900 , 15 000,10 000 ,7700 , 14 000,10 000 ,7600 , 14 000,9900 ,7300 , 14 000,9500 ,7100 , 13 000,9000 ,6700 , 12 000,8500 ,6400 , 12 000,8000 ,6100 , 11 000,7500 ,5600 , 10 000,7000 ,5200 , 9600,6500 ,4800 , 8900,6000 ,4400 , 8300,5600 ,4200 , 7700,5300 ,4000 , 7300,5000 ,3700 , 6900,4700 ,3400 , 6500,4400 ,3200 , 6100,4200 ,3000 , 5800,3900 ,2800 , 5500,3700 ,2700 , 5200,3500 ,2500 , 5100,3300 ,2400 , 5100,3200 ,2400 , 5100,3100 ,2300 , 5100,3000 ,2200 , 5100,2900 ,2100 , 5100
Nyanza,130 000 ,90 000 , 180 000,170 000 ,130 000 , 220 000,210 000 ,160 000 , 270 000,250 000 ,200 000 , 310 000,290 000 ,230 000 , 340 000,320 000 ,260 000 , 370 000,350 000 ,290 000 , 400 000,360 000 ,310 000 , 420 000,370 000 ,320 000 , 430 000,380 000 ,330 000 , 440 000,380 000 ,330 000 , 440 000,370 000 ,330 000 , 430 000,370 000 ,330 000 , 420 000,360 000 ,330 000 , 410 000,360 000 ,320 000 , 400 000,350 000 ,320 000 , 390 000,350 000 ,320 000 , 380 000,350 000 ,320 000 , 380 000,350 000 ,320 000 , 380 000,350 000 ,330 000 , 370 000,350 000 ,330 000 , 380 000,350 000 ,330 000 , 380 000,360 000 ,340 000 , 380 000,360 000 ,340 000 , 380 000,360 000 ,350 000 , 380 000,370 000 ,350 000 , 390 000,370 000 ,350 000 , 390 000,360 000 ,350 000 , 390 000,360 000 ,350 000 , 380 000,360 000 ,340 000 , 380 000,360 000 ,340 000 , 380 000,350 000 ,330 000 , 370 000
Rift Valley,110 000 ,77 000 , 150 000,140 000 ,100 000 , 190 000,180 000 ,130 000 , 220 000,200 000 ,160 000 , 250 000,230 000 ,180 000 , 270 000,240 000 ,200 000 , 290 000,250 000 ,220 000 , 300 000,260 000 ,220 000 , 300 000,260 000 ,230 000 , 300 000,260 000 ,230 000 , 300 000,260 000 ,220 000 , 290 000,250 000 ,220 000 , 280 000,240 000 ,210 000 , 280 000,240 000 ,210 000 , 270 000,230 000 ,200 000 , 260 000,220 000 ,200 000 , 250 000,220 000 ,200 000 , 250 000,220 000 ,200 000 , 240 000,210 000 ,200 000 , 240 000,210 000 ,200 000 , 240 000,210 000 ,200 000 , 240 000,210 000 ,200 000 , 240 000,220 000 ,200 000 , 240 000,220 000 ,200 000 , 230 000,220 000 ,200 000 , 230 000,210 000 ,200 000 , 230 000,210 000 ,200 000 , 230 000,210 000 ,200 000 , 240 000,210 000 ,200 000 , 240 000,210 000 ,200 000 , 240 000,210 000 ,200 000 , 230 000,210 000 ,190 000 , 230 000
Western,59 000 ,41 000 , 79 000,78 000 ,60 000 , 99 000,95 000 ,77 000 , 120 000,110 000 ,93 000 , 130 000,120 000 ,100 000 , 150 000,130 000 ,110 000 , 150 000,130 000 ,110 000 , 160 000,130 000 ,110 000 , 160 000,130 000 ,110 000 , 160 000,130 000 ,110 000 , 150 000,130 000 ,110 000 , 150 000,120 000 ,110 000 , 140 000,120 000 ,100 000 , 130 000,110 000 ,98 000 , 120 000,100 000 ,93 000 , 120 000,100 000 ,90 000 , 110 000,98 000 ,88 000 , 110 000,97 000 ,87 000 , 110 000,97 000 ,87 000 , 110 000,97 000 ,88 000 , 110 000,98 000 ,89 000 , 110 000,99 000 ,90 000 , 110 000,100 000 ,91 000 , 110 000,100 000 ,93 000 , 110 000,100 000 ,95 000 , 110 000,100 000 ,95 000 , 110 000,100 000 ,94 000 , 110 000,100 000 ,93 000 , 110 000,100 000 ,91 000 , 110 000,99 000 ,90 000 , 110 000,98 000 ,88 000 , 110 000,96 000 ,87 000 , 110 000
National,460 000 ,420 000,510 000,610 000 ,560 000,680 000,770 000 ,710 000,850 000,920 000 ,850 000,1 000 000,1 100 000 ,960 000,1 200 000,1 100 000 ,1 100 000,1 300 000,1 200 000 ,1 100 000,1 300 000,1 300 000 ,1 100 000,1 400 000,1 300 000 ,1 200 000,1 400 000,1 300 000 ,1 200 000,1 400 000,1 300 000 ,1 100 000,1 400 000,1 200 000 ,1 100 000,1 400 000,1 200 000 ,1 100 000,1 300 000,1 200 000 ,1 100 000,1 300 000,1 100 000 ,1 000 000,1 200 000,1 100 000 ,1 000 000,1 200 000,1 100 000 ,990 000,1 200 000,1 100 000 ,980 000,1 200 000,1 100 000 ,980 000,1 200 000,1 100 000 ,980 000,1 200 000,1 100 000 ,980 000,1 200 000,1 100 000 ,990 000,1 200 000,1 100 000 ,990 000,1 200 000,1 100 000 ,1 000 000,1 200 000,1 100 000 ,1 000 000,1 200 000,1 100 000 ,1 000 000,1 200 000,1 100 000 ,1 000 000,1 200 000,1 100 000 ,990 000,1 200 000,1 100 000 ,980 000,1 200 000,1 100 000 ,970 000,1 200 000,1 000 000 ,960 000,1 200 000,1 000 000 ,950 000,1 100 000
