States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper, 2020,2020_lower, 2020_upper, 2021,2021_lower, 2021_upper
Central,34 000 ,21 000 , 53 000,53 000 ,36 000 , 76 000,74 000 ,53 000 , 100 000,95 000 ,70 000 , 130 000,110 000 ,87 000 , 150 000,130 000 ,100 000 , 160 000,130 000 ,110 000 , 170 000,140 000 ,110 000 , 170 000,140 000 ,110 000 , 170 000,140 000 ,110 000 , 160 000,130 000 ,110 000 , 160 000,130 000 ,110 000 , 150 000,120 000 ,110 000 , 150 000,120 000 ,100 000 , 140 000,110 000 ,98 000 , 130 000,110 000 ,94 000 , 130 000,100 000 ,90 000 , 120 000,100 000 ,88 000 , 120 000,99 000 ,88 000 , 110 000,98 000 ,87 000 , 110 000,97 000 ,87 000 , 110 000,98 000 ,87 000 , 110 000,98 000 ,88 000 , 110 000,99 000 ,89 000 , 110 000,100 000 ,90 000 , 110 000,100 000 ,90 000 , 110 000,100 000 ,91 000 , 120 000,100 000 ,91 000 , 120 000,100 000 ,91 000 , 120 000,100 000 ,91 000 , 120 000,100 000 ,91 000 , 120 000,100 000 ,91 000 , 120 000
Coast,65 000 ,44 000 , 88 000,80 000 ,59 000 , 100 000,95 000 ,73 000 , 120 000,110 000 ,85 000 , 130 000,120 000 ,96 000 , 140 000,120 000 ,100 000 , 150 000,130 000 ,110 000 , 150 000,130 000 ,110 000 , 150 000,130 000 ,110 000 , 150 000,130 000 ,110 000 , 150 000,130 000 ,110 000 , 150 000,120 000 ,110 000 , 140 000,120 000 ,100 000 , 140 000,120 000 ,99 000 , 130 000,110 000 ,95 000 , 130 000,110 000 ,93 000 , 120 000,110 000 ,92 000 , 120 000,100 000 ,91 000 , 120 000,100 000 ,92 000 , 120 000,100 000 ,92 000 , 120 000,100 000 ,92 000 , 120 000,110 000 ,93 000 , 120 000,110 000 ,94 000 , 120 000,110 000 ,95 000 , 120 000,110 000 ,96 000 , 120 000,110 000 ,97 000 , 120 000,110 000 ,98 000 , 130 000,110 000 ,99 000 , 130 000,110 000 ,99 000 , 130 000,110 000 ,100 000 , 130 000,110 000 ,100 000 , 130 000,110 000 ,100 000 , 130 000
Eastern,24 000 ,14 000 , 41 000,39 000 ,25 000 , 61 000,60 000 ,40 000 , 85 000,83 000 ,58 000 , 110 000,110 000 ,76 000 , 140 000,120 000 ,92 000 , 150 000,130 000 ,100 000 , 170 000,140 000 ,110 000 , 180 000,140 000 ,120 000 , 180 000,140 000 ,120 000 , 170 000,140 000 ,120 000 , 170 000,140 000 ,120 000 , 170 000,140 000 ,120 000 , 160 000,130 000 ,110 000 , 160 000,130 000 ,110 000 , 150 000,120 000 ,110 000 , 150 000,120 000 ,100 000 , 140 000,120 000 ,100 000 , 140 000,120 000 ,100 000 , 140 000,120 000 ,100 000 , 140 000,120 000 ,110 000 , 140 000,120 000 ,110 000 , 140 000,120 000 ,110 000 , 140 000,120 000 ,110 000 , 140 000,120 000 ,110 000 , 140 000,120 000 ,110 000 , 140 000,130 000 ,110 000 , 150 000,130 000 ,110 000 , 150 000,130 000 ,110 000 , 150 000,130 000 ,120 000 , 150 000,130 000 ,120 000 , 150 000,130 000 ,120 000 , 160 000
Nairobi,49 000 ,40 000 , 58 000,61 000 ,51 000 , 71 000,72 000 ,61 000 , 85 000,84 000 ,71 000 , 98 000,93 000 ,80 000 , 110 000,100 000 ,87 000 , 120 000,110 000 ,92 000 , 120 000,110 000 ,96 000 , 130 000,120 000 ,99 000 , 130 000,120 000 ,100 000 , 130 000,120 000 ,100 000 , 130 000,120 000 ,100 000 , 130 000,110 000 ,100 000 , 130 000,110 000 ,99 000 , 130 000,110 000 ,98 000 , 130 000,110 000 ,99 000 , 130 000,120 000 ,100 000 , 130 000,120 000 ,110 000 , 140 000,120 000 ,110 000 , 140 000,130 000 ,110 000 , 150 000,130 000 ,120 000 , 150 000,130 000 ,120 000 , 150 000,140 000 ,120 000 , 160 000,140 000 ,120 000 , 160 000,140 000 ,120 000 , 160 000,140 000 ,130 000 , 160 000,140 000 ,130 000 , 160 000,140 000 ,130 000 , 170 000,140 000 ,130 000 , 170 000,140 000 ,130 000 , 170 000,140 000 ,130 000 , 170 000,150 000 ,130 000 , 170 000
North Eastern,4100 ,2800 , 6300,6100 ,4400 , 9200,8000 ,5900 , 12 000,9500 ,7100 , 14 000,10 000 ,7900 , 15 000,11 000 ,8200 , 15 000,11 000 ,8400 , 15 000,11 000 ,8300 , 15 000,11 000 ,8100 , 15 000,11 000 ,7800 , 15 000,10 000 ,7600 , 14 000,9700 ,7200 , 13 000,9200 ,6800 , 13 000,8600 ,6400 , 12 000,8100 ,6000 , 11 000,7600 ,5600 , 10 000,7100 ,5100 , 9700,6600 ,4800 , 9100,6200 ,4500 , 8500,5800 ,4200 , 7900,5500 ,4000 , 7500,5200 ,3800 , 7100,4900 ,3600 , 6800,4700 ,3400 , 6600,4400 ,3300 , 6200,4200 ,3100 , 6000,4000 ,3000 , 6000,3900 ,3000 , 6000,3900 ,2900 , 5900,3800 ,2900 , 5900,3800 ,2900 , 5900,3700 ,2900 , 6000
Nyanza,140 000 ,96 000 , 190 000,180 000 ,140 000 , 240 000,230 000 ,180 000 , 290 000,270 000 ,210 000 , 330 000,310 000 ,250 000 , 370 000,350 000 ,280 000 , 410 000,370 000 ,310 000 , 440 000,390 000 ,320 000 , 460 000,410 000 ,340 000 , 480 000,410 000 ,350 000 , 480 000,410 000 ,350 000 , 480 000,410 000 ,350 000 , 470 000,400 000 ,350 000 , 470 000,400 000 ,350 000 , 460 000,390 000 ,340 000 , 450 000,380 000 ,340 000 , 440 000,380 000 ,340 000 , 440 000,380 000 ,350 000 , 440 000,380 000 ,350 000 , 450 000,390 000 ,360 000 , 450 000,400 000 ,360 000 , 460 000,400 000 ,370 000 , 460 000,410 000 ,380 000 , 470 000,420 000 ,390 000 , 480 000,420 000 ,400 000 , 490 000,430 000 ,400 000 , 490 000,440 000 ,410 000 , 500 000,440 000 ,410 000 , 510 000,440 000 ,410 000 , 510 000,450 000 ,410 000 , 510 000,450 000 ,420 000 , 520 000,460 000 ,420 000 , 520 000
Rift Valley,120 000 ,81 000 , 160 000,150 000 ,110 000 , 200 000,190 000 ,140 000 , 240 000,220 000 ,170 000 , 270 000,240 000 ,190 000 , 290 000,260 000 ,210 000 , 310 000,270 000 ,230 000 , 320 000,280 000 ,230 000 , 320 000,280 000 ,240 000 , 320 000,280 000 ,240 000 , 320 000,280 000 ,240 000 , 320 000,270 000 ,230 000 , 310 000,260 000 ,230 000 , 310 000,260 000 ,220 000 , 300 000,250 000 ,220 000 , 290 000,240 000 ,210 000 , 280 000,240 000 ,210 000 , 280 000,240 000 ,210 000 , 270 000,240 000 ,210 000 , 270 000,240 000 ,220 000 , 270 000,240 000 ,220 000 , 270 000,240 000 ,220 000 , 270 000,240 000 ,220 000 , 270 000,250 000 ,230 000 , 280 000,250 000 ,230 000 , 280 000,250 000 ,230 000 , 290 000,250 000 ,230 000 , 290 000,260 000 ,240 000 , 300 000,260 000 ,240 000 , 300 000,270 000 ,240 000 , 310 000,270 000 ,240 000 , 310 000,270 000 ,240 000 , 310 000
Western,63 000 ,43 000 , 84 000,83 000 ,64 000 , 110 000,100 000 ,82 000 , 130 000,120 000 ,96 000 , 140 000,130 000 ,110 000 , 160 000,140 000 ,110 000 , 160 000,140 000 ,120 000 , 170 000,140 000 ,120 000 , 170 000,140 000 ,120 000 , 170 000,140 000 ,120 000 , 160 000,140 000 ,120 000 , 160 000,130 000 ,110 000 , 150 000,120 000 ,110 000 , 150 000,120 000 ,110 000 , 140 000,110 000 ,100 000 , 130 000,110 000 ,99 000 , 130 000,110 000 ,96 000 , 120 000,110 000 ,96 000 , 120 000,110 000 ,97 000 , 120 000,110 000 ,98 000 , 120 000,110 000 ,100 000 , 120 000,110 000 ,100 000 , 130 000,120 000 ,100 000 , 130 000,120 000 ,110 000 , 130 000,120 000 ,110 000 , 140 000,120 000 ,110 000 , 140 000,120 000 ,110 000 , 140 000,130 000 ,110 000 , 140 000,130 000 ,120 000 , 150 000,130 000 ,120 000 , 150 000,130 000 ,120 000 , 150 000,130 000 ,120 000 , 150 000
National,490 000 ,440 000,570 000,650 000 ,590 000,760 000,830 000 ,750 000,950 000,990 000 ,890 000,1 100 000,1 100 000 ,1 000 000,1 300 000,1 200 000 ,1 100 000,1 400 000,1 300 000 ,1 200 000,1 500 000,1 300 000 ,1 200 000,1 600 000,1 400 000 ,1 200 000,1 600 000,1 400 000 ,1 200 000,1 600 000,1 300 000 ,1 200 000,1 600 000,1 300 000 ,1 200 000,1 500 000,1 300 000 ,1 200 000,1 500 000,1 300 000 ,1 100 000,1 500 000,1 200 000 ,1 100 000,1 400 000,1 200 000 ,1 100 000,1 400 000,1 200 000 ,1 100 000,1 400 000,1 200 000 ,1 100 000,1 400 000,1 200 000 ,1 100 000,1 400 000,1 200 000 ,1 100 000,1 400 000,1 200 000 ,1 100 000,1 400 000,1 200 000 ,1 100 000,1 400 000,1 200 000 ,1 100 000,1 400 000,1 300 000 ,1 100 000,1 400 000,1 300 000 ,1 100 000,1 500 000,1 300 000 ,1 200 000,1 500 000,1 300 000 ,1 200 000,1 500 000,1 300 000 ,1 200 000,1 500 000,1 300 000 ,1 200 000,1 500 000,1 300 000 ,1 200 000,1 500 000,1 300 000 ,1 200 000,1 600 000,1 400 000 ,1 200 000,1 600 000
