States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper, 2020,2020_lower, 2020_upper, 2021,2021_lower, 2021_upper
Central,37 000 ,23 000 , 57 000,57 000 ,39 000 , 81 000,80 000 ,58 000 , 110 000,100 000 ,77 000 , 140 000,120 000 ,95 000 , 160 000,140 000 ,110 000 , 180 000,150 000 ,120 000 , 180 000,150 000 ,130 000 , 190 000,150 000 ,130 000 , 190 000,150 000 ,130 000 , 180 000,150 000 ,130 000 , 180 000,150 000 ,130 000 , 180 000,140 000 ,120 000 , 170 000,140 000 ,120 000 , 160 000,130 000 ,120 000 , 160 000,130 000 ,110 000 , 150 000,120 000 ,110 000 , 140 000,120 000 ,110 000 , 140 000,120 000 ,110 000 , 130 000,120 000 ,100 000 , 130 000,110 000 ,100 000 , 130 000,110 000 ,100 000 , 130 000,110 000 ,100 000 , 130 000,110 000 ,100 000 , 130 000,110 000 ,100 000 , 130 000,110 000 ,100 000 , 130 000,110 000 ,100 000 , 130 000,110 000 ,99 000 , 130 000,110 000 ,99 000 , 130 000,110 000 ,98 000 , 130 000,110 000 ,98 000 , 130 000,110 000 ,97 000 , 120 000
Coast,70 000 ,48 000 , 95 000,87 000 ,63 000 , 110 000,100 000 ,79 000 , 130 000,120 000 ,93 000 , 140 000,130 000 ,100 000 , 150 000,140 000 ,110 000 , 160 000,140 000 ,120 000 , 170 000,140 000 ,120 000 , 170 000,150 000 ,120 000 , 170 000,140 000 ,120 000 , 170 000,140 000 ,120 000 , 170 000,140 000 ,120 000 , 160 000,140 000 ,120 000 , 160 000,130 000 ,120 000 , 150 000,130 000 ,110 000 , 150 000,130 000 ,110 000 , 140 000,120 000 ,110 000 , 140 000,120 000 ,110 000 , 140 000,120 000 ,100 000 , 130 000,120 000 ,110 000 , 130 000,120 000 ,110 000 , 130 000,120 000 ,110 000 , 130 000,120 000 ,110 000 , 130 000,120 000 ,110 000 , 130 000,120 000 ,110 000 , 130 000,120 000 ,110 000 , 130 000,120 000 ,110 000 , 140 000,120 000 ,110 000 , 140 000,120 000 ,110 000 , 140 000,120 000 ,110 000 , 140 000,120 000 ,110 000 , 140 000,120 000 ,110 000 , 140 000
Eastern,26 000 ,15 000 , 45 000,43 000 ,27 000 , 67 000,65 000 ,44 000 , 93 000,91 000 ,63 000 , 120 000,120 000 ,84 000 , 150 000,130 000 ,100 000 , 170 000,150 000 ,120 000 , 190 000,160 000 ,130 000 , 200 000,160 000 ,130 000 , 200 000,160 000 ,130 000 , 200 000,160 000 ,130 000 , 200 000,160 000 ,140 000 , 200 000,160 000 ,140 000 , 190 000,160 000 ,130 000 , 190 000,150 000 ,130 000 , 180 000,150 000 ,130 000 , 170 000,140 000 ,130 000 , 170 000,140 000 ,120 000 , 160 000,140 000 ,120 000 , 160 000,140 000 ,120 000 , 160 000,140 000 ,120 000 , 160 000,140 000 ,120 000 , 160 000,140 000 ,120 000 , 160 000,140 000 ,120 000 , 160 000,140 000 ,120 000 , 160 000,140 000 ,120 000 , 160 000,140 000 ,120 000 , 160 000,140 000 ,120 000 , 160 000,140 000 ,120 000 , 160 000,140 000 ,120 000 , 160 000,140 000 ,120 000 , 160 000,140 000 ,120 000 , 160 000
Nairobi,52 000 ,42 000 , 62 000,64 000 ,54 000 , 75 000,77 000 ,65 000 , 90 000,89 000 ,77 000 , 110 000,100 000 ,85 000 , 120 000,110 000 ,93 000 , 130 000,120 000 ,100 000 , 130 000,120 000 ,110 000 , 140 000,130 000 ,110 000 , 150 000,130 000 ,110 000 , 150 000,130 000 ,110 000 , 150 000,130 000 ,110 000 , 150 000,130 000 ,110 000 , 150 000,130 000 ,110 000 , 150 000,130 000 ,110 000 , 150 000,130 000 ,110 000 , 150 000,130 000 ,120 000 , 150 000,140 000 ,120 000 , 160 000,140 000 ,120 000 , 160 000,140 000 ,130 000 , 160 000,150 000 ,130 000 , 170 000,150 000 ,130 000 , 170 000,150 000 ,130 000 , 170 000,150 000 ,130 000 , 180 000,150 000 ,130 000 , 180 000,150 000 ,140 000 , 180 000,150 000 ,140 000 , 180 000,150 000 ,140 000 , 180 000,150 000 ,140 000 , 180 000,150 000 ,140 000 , 180 000,150 000 ,140 000 , 180 000,150 000 ,140 000 , 180 000
North Eastern,4500 ,3000 , 7000,6800 ,4900 , 10 000,9000 ,6700 , 13 000,11 000 ,8100 , 16 000,12 000 ,9100 , 17 000,13 000 ,9700 , 18 000,13 000 ,10 000 , 18 000,13 000 ,10 000 , 19 000,13 000 ,10 000 , 19 000,13 000 ,10 000 , 18 000,13 000 ,9900 , 18 000,13 000 ,9600 , 17 000,12 000 ,9200 , 17 000,12 000 ,8900 , 16 000,11 000 ,8400 , 15 000,10 000 ,7900 , 15 000,9800 ,7300 , 14 000,9200 ,6800 , 13 000,8600 ,6400 , 12 000,8100 ,6000 , 11 000,7600 ,5600 , 10 000,7100 ,5300 , 9700,6700 ,5000 , 9100,6300 ,4600 , 8600,5900 ,4300 , 8100,5600 ,4100 , 7700,5200 ,3900 , 7300,5000 ,3800 , 7200,4900 ,3600 , 7200,4700 ,3500 , 7200,4600 ,3500 , 7300,4500 ,3400 , 7200
Nyanza,150 000 ,110 000 , 210 000,200 000 ,150 000 , 260 000,250 000 ,190 000 , 320 000,300 000 ,240 000 , 370 000,350 000 ,280 000 , 420 000,390 000 ,320 000 , 460 000,430 000 ,350 000 , 500 000,450 000 ,370 000 , 530 000,470 000 ,400 000 , 550 000,480 000 ,410 000 , 560 000,490 000 ,420 000 , 570 000,490 000 ,420 000 , 560 000,490 000 ,430 000 , 560 000,480 000 ,430 000 , 560 000,480 000 ,430 000 , 550 000,480 000 ,430 000 , 550 000,470 000 ,430 000 , 540 000,480 000 ,430 000 , 540 000,470 000 ,430 000 , 530 000,470 000 ,430 000 , 530 000,470 000 ,440 000 , 540 000,470 000 ,440 000 , 540 000,480 000 ,450 000 , 540 000,480 000 ,450 000 , 540 000,480 000 ,450 000 , 540 000,480 000 ,450 000 , 540 000,480 000 ,450 000 , 550 000,480 000 ,450 000 , 550 000,480 000 ,450 000 , 550 000,480 000 ,450 000 , 550 000,490 000 ,450 000 , 550 000,490 000 ,450 000 , 550 000
Rift Valley,130 000 ,88 000 , 180 000,170 000 ,120 000 , 220 000,200 000 ,150 000 , 260 000,240 000 ,190 000 , 290 000,270 000 ,220 000 , 320 000,290 000 ,230 000 , 340 000,300 000 ,250 000 , 350 000,310 000 ,270 000 , 360 000,320 000 ,280 000 , 370 000,320 000 ,280 000 , 370 000,320 000 ,280 000 , 360 000,310 000 ,270 000 , 360 000,310 000 ,270 000 , 350 000,300 000 ,260 000 , 350 000,290 000 ,260 000 , 340 000,290 000 ,250 000 , 330 000,280 000 ,250 000 , 320 000,280 000 ,250 000 , 320 000,270 000 ,250 000 , 310 000,270 000 ,250 000 , 310 000,270 000 ,250 000 , 310 000,270 000 ,250 000 , 310 000,270 000 ,250 000 , 310 000,270 000 ,250 000 , 310 000,270 000 ,250 000 , 310 000,270 000 ,250 000 , 310 000,280 000 ,250 000 , 320 000,280 000 ,250 000 , 320 000,280 000 ,260 000 , 320 000,280 000 ,260 000 , 320 000,280 000 ,260 000 , 320 000,280 000 ,260 000 , 320 000
Western,69 000 ,47 000 , 92 000,91 000 ,70 000 , 120 000,110 000 ,89 000 , 140 000,130 000 ,110 000 , 160 000,150 000 ,120 000 , 170 000,160 000 ,130 000 , 180 000,160 000 ,140 000 , 190 000,160 000 ,140 000 , 200 000,160 000 ,140 000 , 200 000,160 000 ,140 000 , 190 000,160 000 ,140 000 , 190 000,160 000 ,130 000 , 180 000,150 000 ,130 000 , 180 000,150 000 ,130 000 , 170 000,140 000 ,120 000 , 160 000,140 000 ,120 000 , 160 000,130 000 ,120 000 , 150 000,130 000 ,120 000 , 150 000,130 000 ,120 000 , 140 000,130 000 ,120 000 , 140 000,130 000 ,120 000 , 140 000,130 000 ,120 000 , 150 000,130 000 ,120 000 , 150 000,130 000 ,120 000 , 150 000,140 000 ,120 000 , 150 000,140 000 ,120 000 , 150 000,140 000 ,120 000 , 160 000,140 000 ,120 000 , 160 000,140 000 ,120 000 , 160 000,140 000 ,130 000 , 160 000,140 000 ,120 000 , 160 000,140 000 ,130 000 , 160 000
National,540 000 ,480 000,610 000,710 000 ,650 000,820 000,900 000 ,820 000,1 000 000,1 100 000 ,980 000,1 200 000,1 200 000 ,1 100 000,1 400 000,1 400 000 ,1 200 000,1 600 000,1 500 000 ,1 300 000,1 700 000,1 500 000 ,1 400 000,1 700 000,1 600 000 ,1 400 000,1 800 000,1 600 000 ,1 400 000,1 800 000,1 600 000 ,1 400 000,1 800 000,1 600 000 ,1 400 000,1 800 000,1 500 000 ,1 400 000,1 800 000,1 500 000 ,1 400 000,1 700 000,1 500 000 ,1 300 000,1 700 000,1 400 000 ,1 300 000,1 700 000,1 400 000 ,1 300 000,1 600 000,1 400 000 ,1 300 000,1 600 000,1 400 000 ,1 300 000,1 600 000,1 400 000 ,1 300 000,1 600 000,1 400 000 ,1 300 000,1 600 000,1 400 000 ,1 300 000,1 600 000,1 400 000 ,1 300 000,1 600 000,1 400 000 ,1 300 000,1 600 000,1 400 000 ,1 300 000,1 600 000,1 400 000 ,1 300 000,1 600 000,1 400 000 ,1 300 000,1 600 000,1 400 000 ,1 300 000,1 600 000,1 400 000 ,1 300 000,1 600 000,1 400 000 ,1 300 000,1 600 000,1 400 000 ,1 300 000,1 600 000,1 400 000 ,1 300 000,1 600 000
