States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper, 2020,2020_lower, 2020_upper, 2021,2021_lower, 2021_upper
Central,2100 ,<1000 , 4900,3300 ,1400 , 7400,4700 ,1900 , 10 000,6100 ,2600 , 13 000,7400 ,3100 , 16 000,8400 ,3700 , 18 000,9100 ,4100 , 19 000,9600 ,4300 , 20 000,9900 ,4500 , 20 000,10 000 ,4700 , 20 000,10 000 ,4800 , 20 000,10 000 ,4900 , 19 000,10 000 ,4900 , 19 000,9900 ,4900 , 18 000,9700 ,4900 , 18 000,9500 ,4900 , 18 000,9500 ,5000 , 18 000,9700 ,5300 , 18 000,10 000 ,5700 , 19 000,10 000 ,6200 , 19 000,11 000 ,6700 , 20 000,12 000 ,7500 , 21 000,13 000 ,8600 , 23 000,15 000 ,9800 , 25 000,16 000 ,11 000 , 27 000,18 000 ,13 000 , 30 000,20 000 ,15 000 , 33 000,22 000 ,16 000 , 36 000,24 000 ,18 000 , 39 000,27 000 ,20 000 , 42 000,29 000 ,23 000 , 45 000,31 000 ,24 000 , 47 000
Coast,4900 ,1900 , 11 000,6000 ,2600 , 13 000,7100 ,3100 , 15 000,8000 ,3700 , 17 000,8800 ,4100 , 18 000,9300 ,4600 , 19 000,9800 ,4900 , 20 000,10 000 ,5100 , 20 000,10 000 ,5300 , 21 000,10 000 ,5300 , 20 000,10 000 ,5400 , 20 000,10 000 ,5400 , 20 000,10 000 ,5400 , 19 000,9900 ,5400 , 19 000,9700 ,5500 , 19 000,9700 ,5500 , 18 000,9800 ,5600 , 18 000,10 000 ,6000 , 19 000,11 000 ,6300 , 20 000,11 000 ,6900 , 21 000,12 000 ,7600 , 22 000,13 000 ,8500 , 23 000,14 000 ,9400 , 25 000,15 000 ,11 000 , 26 000,16 000 ,12 000 , 27 000,18 000 ,13 000 , 29 000,19 000 ,15 000 , 32 000,21 000 ,16 000 , 34 000,23 000 ,18 000 , 36 000,25 000 ,19 000 , 38 000,27 000 ,21 000 , 40 000,29 000 ,23 000 , 43 000
Eastern,1400 ,<1000 , 3400,2300 ,<1000 , 5200,3500 ,1300 , 7800,4800 ,1900 , 9900,6200 ,2500 , 13 000,7300 ,3000 , 15 000,8100 ,3400 , 16 000,8800 ,3700 , 18 000,9200 ,4000 , 19 000,9600 ,4200 , 19 000,9800 ,4300 , 20 000,9900 ,4500 , 20 000,10 000 ,4600 , 20 000,9900 ,4700 , 20 000,9900 ,4800 , 20 000,9800 ,4900 , 20 000,9900 ,5100 , 20 000,10 000 ,5400 , 20 000,11 000 ,5900 , 21 000,11 000 ,6400 , 22 000,12 000 ,6900 , 22 000,13 000 ,7700 , 24 000,14 000 ,8600 , 25 000,15 000 ,9700 , 27 000,16 000 ,11 000 , 29 000,18 000 ,12 000 , 31 000,20 000 ,14 000 , 34 000,22 000 ,16 000 , 37 000,24 000 ,18 000 , 40 000,26 000 ,19 000 , 42 000,29 000 ,21 000 , 45 000,31 000 ,23 000 , 48 000
Nairobi,1500 ,<1000 , 4100,1800 ,<1000 , 5100,2200 ,1000 , 6000,2600 ,1200 , 6900,3000 ,1400 , 7800,3400 ,1600 , 8600,3700 ,1800 , 9400,4000 ,2000 , 10 000,4300 ,2100 , 11 000,4500 ,2200 , 11 000,4600 ,2300 , 11 000,4700 ,2400 , 11 000,4700 ,2400 , 11 000,4700 ,2500 , 11 000,4800 ,2600 , 11 000,5000 ,2700 , 12 000,5400 ,3000 , 13 000,6000 ,3400 , 14 000,6800 ,3900 , 15 000,7600 ,4500 , 16 000,8500 ,5300 , 18 000,9600 ,6100 , 19 000,11 000 ,7000 , 21 000,12 000 ,8100 , 23 000,13 000 ,9300 , 26 000,15 000 ,10 000 , 28 000,17 000 ,12 000 , 32 000,19 000 ,14 000 , 35 000,21 000 ,16 000 , 38 000,23 000 ,18 000 , 42 000,26 000 ,20 000 , 46 000,29 000 ,23 000 , 50 000
North Eastern,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , 1100,<1000 ,<500 , 1300,<1000 ,<500 , 1400,<1000 ,<500 , 1500,<1000 ,<500 , 1600,<1000 ,<500 , 1600,<1000 ,<500 , 1600,<1000 ,<500 , 1600,<1000 ,<500 , 1600,<1000 ,<500 , 1500,<1000 ,<500 , 1500,<1000 ,<500 , 1500,<1000 ,<500 , 1400,<1000 ,<500 , 1300,<1000 ,<500 , 1300,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1000,<1000 ,<500 , 1000,<1000 ,<500 , 1000,<1000 ,<500 , 1000,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1200,<1000 ,<1000 , 1200
Nyanza,9700 ,4400 , 22 000,13 000 ,5900 , 28 000,16 000 ,7400 , 36 000,20 000 ,8800 , 42 000,23 000 ,10 000 , 49 000,26 000 ,12 000 , 54 000,28 000 ,13 000 , 58 000,30 000 ,14 000 , 62 000,32 000 ,14 000 , 65 000,33 000 ,15 000 , 67 000,33 000 ,16 000 , 68 000,33 000 ,16 000 , 69 000,33 000 ,16 000 , 71 000,33 000 ,17 000 , 72 000,33 000 ,17 000 , 72 000,33 000 ,18 000 , 72 000,34 000 ,18 000 , 74 000,36 000 ,20 000 , 77 000,38 000 ,21 000 , 80 000,40 000 ,23 000 , 84 000,44 000 ,26 000 , 89 000,48 000 ,29 000 , 95 000,52 000 ,33 000 , 100 000,56 000 ,36 000 , 110 000,60 000 ,40 000 , 110 000,65 000 ,45 000 , 120 000,71 000 ,50 000 , 130 000,76 000 ,55 000 , 140 000,83 000 ,61 000 , 150 000,90 000 ,68 000 , 160 000,97 000 ,73 000 , 160 000,110 000 ,81 000 , 170 000
Rift Valley,7300 ,3000 , 19 000,9600 ,4200 , 24 000,12 000 ,5200 , 28 000,14 000 ,6000 , 31 000,16 000 ,6600 , 34 000,17 000 ,7200 , 36 000,18 000 ,7800 , 37 000,19 000 ,8200 , 38 000,19 000 ,8700 , 38 000,19 000 ,9300 , 39 000,20 000 ,9700 , 39 000,20 000 ,9900 , 38 000,20 000 ,10 000 , 37 000,19 000 ,10 000 , 37 000,19 000 ,10 000 , 37 000,19 000 ,11 000 , 37 000,20 000 ,11 000 , 38 000,20 000 ,12 000 , 39 000,22 000 ,13 000 , 41 000,23 000 ,14 000 , 43 000,24 000 ,15 000 , 45 000,26 000 ,17 000 , 47 000,29 000 ,18 000 , 51 000,31 000 ,21 000 , 54 000,33 000 ,23 000 , 58 000,36 000 ,26 000 , 61 000,40 000 ,29 000 , 66 000,43 000 ,32 000 , 71 000,48 000 ,35 000 , 76 000,52 000 ,39 000 , 81 000,56 000 ,43 000 , 87 000,60 000 ,47 000 , 92 000
Western,3900 ,1800 , 9300,5100 ,2200 , 12 000,6300 ,2700 , 14 000,7300 ,3200 , 15 000,8100 ,3600 , 17 000,8800 ,4000 , 18 000,9200 ,4300 , 18 000,9500 ,4500 , 19 000,9600 ,4600 , 19 000,9700 ,4700 , 19 000,9700 ,4800 , 19 000,9600 ,4900 , 19 000,9500 ,4900 , 18 000,9300 ,4900 , 18 000,9100 ,4900 , 18 000,9200 ,5000 , 18 000,9400 ,5200 , 18 000,9900 ,5700 , 19 000,11 000 ,6400 , 20 000,11 000 ,7100 , 22 000,13 000 ,8000 , 23 000,14 000 ,9000 , 25 000,15 000 ,10 000 , 27 000,17 000 ,12 000 , 30 000,18 000 ,13 000 , 32 000,20 000 ,15 000 , 34 000,22 000 ,17 000 , 37 000,25 000 ,19 000 , 40 000,27 000 ,21 000 , 43 000,29 000 ,23 000 , 46 000,32 000 ,25 000 , 49 000,34 000 ,27 000 , 52 000
National,31 000 ,24 000,49 000,41 000 ,32 000,66 000,53 000 ,41 000,83 000,63 000 ,49 000,100 000,73 000 ,56 000,120 000,81 000 ,63 000,130 000,87 000 ,67 000,140 000,92 000 ,71 000,140 000,95 000 ,73 000,150 000,97 000 ,75 000,150 000,98 000 ,76 000,150 000,98 000 ,76 000,150 000,98 000 ,76 000,150 000,97 000 ,75 000,150 000,96 000 ,74 000,150 000,97 000 ,75 000,150 000,98 000 ,76 000,160 000,100 000 ,79 000,160 000,110 000 ,84 000,170 000,120 000 ,90 000,180 000,130 000 ,97 000,200 000,140 000 ,110 000,210 000,150 000 ,110 000,230 000,160 000 ,120 000,250 000,180 000 ,140 000,280 000,190 000 ,150 000,300 000,210 000 ,160 000,330 000,230 000 ,180 000,360 000,250 000 ,190 000,400 000,270 000 ,210 000,430 000,300 000 ,230 000,470 000,320 000 ,250 000,510 000
