States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper, 2020,2020_lower, 2020_upper, 2021,2021_lower, 2021_upper
Central,4200 ,<1000 , 9200,6300 ,1300 , 14 000,8500 ,1700 , 19 000,10 000 ,2000 , 22 000,11 000 ,2100 , 22 000,10 000 ,2200 , 22 000,9000 ,2000 , 19 000,7700 ,1700 , 16 000,6500 ,1400 , 13 000,5800 ,1700 , 11 000,5700 ,2100 , 9500,6000 ,2900 , 9300,6700 ,3700 , 9600,7600 ,4800 , 10 000,8500 ,5800 , 12 000,9400 ,6600 , 12 000,10 000 ,7400 , 13 000,11 000 ,8100 , 14 000,11 000 ,8700 , 14 000,12 000 ,9100 , 15 000,12 000 ,9300 , 15 000,12 000 ,9400 , 15 000,12 000 ,9300 , 15 000,12 000 ,9100 , 15 000,12 000 ,8700 , 14 000,11 000 ,8400 , 14 000,11 000 ,7900 , 13 000,10 000 ,7600 , 12 000,9500 ,7200 , 11 000,9100 ,6900 , 11 000,8600 ,6600 , 9900,8100 ,6200 , 9400
Coast,7500 ,1600 , 16 000,8700 ,1800 , 18 000,9400 ,2000 , 20 000,9700 ,2200 , 20 000,9400 ,2300 , 20 000,8800 ,2300 , 18 000,8200 ,2300 , 17 000,7700 ,2500 , 14 000,7400 ,3000 , 13 000,7300 ,3400 , 12 000,7600 ,4100 , 12 000,7900 ,4800 , 11 000,8400 ,5500 , 12 000,8900 ,6100 , 12 000,9300 ,6700 , 12 000,9700 ,7100 , 13 000,10 000 ,7400 , 13 000,10 000 ,7700 , 13 000,10 000 ,7800 , 13 000,11 000 ,8000 , 13 000,11 000 ,8000 , 13 000,11 000 ,8100 , 13 000,10 000 ,8100 , 13 000,10 000 ,8000 , 13 000,10 000 ,7800 , 12 000,9700 ,7600 , 12 000,9500 ,7500 , 11 000,9300 ,7400 , 11 000,8900 ,7000 , 11 000,8500 ,6700 , 10 000,8000 ,6400 , 9600,7600 ,5900 , 9100
Eastern,2900 ,<500 , 6300,4600 ,<1000 , 9500,6800 ,1200 , 14 000,8900 ,1500 , 18 000,10 000 ,1700 , 21 000,10 000 ,1900 , 22 000,9200 ,1900 , 19 000,7900 ,1800 , 17 000,6700 ,1500 , 13 000,5900 ,1500 , 11 000,5600 ,1900 , 10 000,5800 ,2500 , 9700,6500 ,3100 , 10 000,7400 ,4300 , 11 000,8500 ,5500 , 12 000,9600 ,6500 , 13 000,11 000 ,7400 , 14 000,11 000 ,8200 , 15 000,12 000 ,9100 , 16 000,13 000 ,10 000 , 16 000,14 000 ,10 000 , 17 000,14 000 ,11 000 , 17 000,14 000 ,11 000 , 18 000,14 000 ,11 000 , 17 000,14 000 ,11 000 , 17 000,14 000 ,11 000 , 17 000,13 000 ,10 000 , 16 000,13 000 ,10 000 , 16 000,12 000 ,9600 , 15 000,12 000 ,9200 , 14 000,11 000 ,8600 , 13 000,10 000 ,8000 , 12 000
Nairobi,2600 ,<1000 , 5100,3100 ,<1000 , 6000,3400 ,<1000 , 6800,3700 ,<1000 , 7300,3800 ,<1000 , 7300,3900 ,<1000 , 7200,3800 ,1100 , 7000,3800 ,1200 , 6500,3800 ,1400 , 6300,3900 ,1600 , 6300,4100 ,2000 , 6300,4400 ,2400 , 6400,4800 ,3000 , 6600,5200 ,3400 , 7000,5700 ,4000 , 7500,6400 ,4500 , 8300,7000 ,5000 , 9200,7600 ,5500 , 9800,8100 ,5900 , 10 000,8500 ,6200 , 11 000,8800 ,6500 , 11 000,8900 ,6700 , 11 000,9000 ,6800 , 11 000,9100 ,7000 , 11 000,9100 ,7100 , 11 000,9200 ,7300 , 11 000,9400 ,7400 , 11 000,9500 ,7500 , 11 000,9400 ,7400 , 11 000,9300 ,7500 , 11 000,9200 ,7400 , 11 000,9300 ,7200 , 11 000
North Eastern,<500 ,<200 , 1100,<1000 ,<200 , 1500,<1000 ,<200 , 1900,<1000 ,<200 , 1800,<1000 ,<200 , 1600,<1000 ,<100 , 1400,<500 ,<100 , 1100,<500 ,<100 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<1000 , 1100,<1000 ,<1000 , 1300,1000 ,<1000 , 1500,1100 ,<1000 , 1700,1200 ,<1000 , 1800,1300 ,1000 , 1900,1400 ,1100 , 2000,1500 ,1100 , 2100,1500 ,1100 , 2100,1500 ,1100 , 2100,1400 ,1100 , 2000,1400 ,1000 , 1900,1300 ,<1000 , 1800,1200 ,<1000 , 1700,1100 ,<1000 , 1600,1000 ,<1000 , 1500,<1000 ,<1000 , 1300,<1000 ,<1000 , 1200,<1000 ,<1000 , 1100,<1000 ,<500 , <1000
Nyanza,21 000 ,4900 , 44 000,27 000 ,6200 , 56 000,32 000 ,7300 , 65 000,36 000 ,8500 , 70 000,38 000 ,9500 , 73 000,39 000 ,10 000 , 72 000,39 000 ,11 000 , 70 000,37 000 ,11 000 , 66 000,36 000 ,12 000 , 64 000,35 000 ,13 000 , 61 000,35 000 ,15 000 , 59 000,36 000 ,17 000 , 57 000,38 000 ,20 000 , 57 000,40 000 ,25 000 , 59 000,43 000 ,29 000 , 60 000,46 000 ,33 000 , 61 000,49 000 ,36 000 , 64 000,52 000 ,39 000 , 66 000,55 000 ,41 000 , 68 000,57 000 ,44 000 , 70 000,58 000 ,45 000 , 71 000,59 000 ,46 000 , 71 000,58 000 ,46 000 , 70 000,57 000 ,45 000 , 69 000,56 000 ,44 000 , 66 000,54 000 ,43 000 , 64 000,52 000 ,41 000 , 61 000,49 000 ,39 000 , 56 000,45 000 ,36 000 , 52 000,41 000 ,33 000 , 48 000,38 000 ,30 000 , 44 000,36 000 ,28 000 , 42 000
Rift Valley,14 000 ,3800 , 31 000,18 000 ,4600 , 38 000,21 000 ,4900 , 42 000,21 000 ,5100 , 42 000,21 000 ,5000 , 41 000,20 000 ,4600 , 38 000,18 000 ,4400 , 34 000,16 000 ,4200 , 31 000,15 000 ,5300 , 28 000,15 000 ,6900 , 26 000,15 000 ,8200 , 24 000,17 000 ,9700 , 24 000,18 000 ,11 000 , 25 000,20 000 ,13 000 , 26 000,21 000 ,15 000 , 27 000,23 000 ,17 000 , 29 000,24 000 ,18 000 , 31 000,25 000 ,19 000 , 32 000,26 000 ,20 000 , 33 000,27 000 ,21 000 , 33 000,27 000 ,21 000 , 34 000,27 000 ,21 000 , 33 000,27 000 ,21 000 , 33 000,26 000 ,20 000 , 33 000,26 000 ,20 000 , 32 000,25 000 ,19 000 , 30 000,24 000 ,19 000 , 29 000,23 000 ,18 000 , 28 000,22 000 ,17 000 , 26 000,21 000 ,16 000 , 25 000,20 000 ,15 000 , 24 000,18 000 ,14 000 , 22 000
Western,6700 ,1400 , 14 000,8400 ,1900 , 17 000,9600 ,2000 , 20 000,10 000 ,2100 , 22 000,9700 ,2100 , 22 000,8900 ,2000 , 20 000,8000 ,1900 , 16 000,7200 ,2000 , 13 000,6800 ,2500 , 12 000,6700 ,3200 , 10 000,7100 ,4200 , 10 000,7800 ,5200 , 11 000,8800 ,6200 , 12 000,9800 ,7200 , 13 000,11 000 ,8400 , 14 000,12 000 ,9300 , 15 000,13 000 ,10 000 , 16 000,13 000 ,11 000 , 16 000,14 000 ,11 000 , 17 000,14 000 ,12 000 , 18 000,15 000 ,12 000 , 18 000,15 000 ,12 000 , 18 000,15 000 ,12 000 , 17 000,14 000 ,11 000 , 17 000,14 000 ,11 000 , 17 000,14 000 ,11 000 , 16 000,13 000 ,10 000 , 15 000,12 000 ,9900 , 15 000,12 000 ,9400 , 14 000,11 000 ,8800 , 13 000,10 000 ,8200 , 12 000,9800 ,7500 , 11 000
National,60 000 ,46 000,70 000,76 000 ,59 000,90 000,91 000 ,70 000,110 000,100 000 ,78 000,120 000,100 000 ,80 000,120 000,100 000 ,79 000,120 000,95 000 ,74 000,110 000,88 000 ,68 000,100 000,83 000 ,64 000,98 000,81 000 ,62 000,95 000,81 000 ,63 000,96 000,85 000 ,66 000,100 000,92 000 ,71 000,110 000,99 000 ,77 000,120 000,110 000 ,84 000,130 000,120 000 ,91 000,140 000,120 000 ,97 000,150 000,130 000 ,100 000,160 000,140 000 ,110 000,160 000,140 000 ,110 000,170 000,150 000 ,110 000,170 000,150 000 ,110 000,170 000,150 000 ,110 000,170 000,140 000 ,110 000,170 000,140 000 ,110 000,170 000,140 000 ,110 000,160 000,130 000 ,100 000,160 000,130 000 ,98 000,150 000,120 000 ,93 000,140 000,110 000 ,87 000,130 000,110 000 ,82 000,130 000,100 000 ,77 000,120 000
