States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper, 2020,2020_lower, 2020_upper
Central,4300 ,<1000 , 11 000,6500 ,1300 , 16 000,8700 ,1800 , 20 000,10 000 ,2000 , 23 000,11 000 ,2100 , 23 000,10 000 ,2000 , 21 000,9100 ,1800 , 18 000,7700 ,1500 , 15 000,6600 ,1700 , 13 000,5900 ,1900 , 11 000,5700 ,2300 , 10 000,6000 ,3000 , 9700,6600 ,3800 , 10 000,7500 ,4600 , 11 000,8300 ,5500 , 12 000,9100 ,6300 , 12 000,9800 ,6900 , 13 000,10 000 ,7300 , 13 000,11 000 ,7700 , 14 000,11 000 ,8200 , 14 000,12 000 ,8600 , 15 000,12 000 ,8600 , 15 000,11 000 ,8500 , 14 000,11 000 ,8300 , 14 000,11 000 ,8000 , 13 000,10 000 ,7700 , 13 000,9900 ,7400 , 12 000,9400 ,7100 , 12 000,8900 ,6800 , 11 000,8500 ,6500 , 10 000,8000 ,6200 , 9700
Coast,7200 ,1200 , 15 000,8300 ,1500 , 17 000,9100 ,1800 , 18 000,9200 ,2100 , 18 000,9000 ,2200 , 18 000,8400 ,2200 , 17 000,7900 ,2400 , 15 000,7500 ,2600 , 14 000,7200 ,2700 , 13 000,7200 ,3300 , 12 000,7400 ,4000 , 12 000,7800 ,4700 , 12 000,8200 ,5300 , 12 000,8700 ,6000 , 12 000,9200 ,6500 , 12 000,9600 ,6900 , 12 000,10 000 ,7100 , 13 000,10 000 ,7500 , 13 000,10 000 ,7800 , 13 000,11 000 ,8100 , 13 000,11 000 ,8200 , 13 000,11 000 ,8100 , 13 000,10 000 ,7900 , 13 000,10 000 ,7700 , 13 000,10 000 ,7600 , 12 000,9700 ,7400 , 12 000,9500 ,7300 , 12 000,9200 ,7000 , 11 000,8800 ,6800 , 11 000,8400 ,6500 , 10 000,7900 ,6100 , 9800
Eastern,3100 ,<1000 , 7300,5000 ,1100 , 11 000,7300 ,1600 , 16 000,9500 ,1900 , 21 000,11 000 ,2100 , 22 000,11 000 ,2100 , 22 000,10 000 ,1800 , 20 000,8600 ,1600 , 17 000,7100 ,1400 , 14 000,6200 ,1500 , 12 000,5800 ,1800 , 11 000,5900 ,2500 , 10 000,6500 ,3400 , 10 000,7400 ,4400 , 11 000,8400 ,5500 , 12 000,9500 ,6600 , 13 000,10 000 ,7600 , 14 000,11 000 ,8500 , 15 000,12 000 ,9100 , 16 000,13 000 ,9800 , 17 000,13 000 ,10 000 , 17 000,14 000 ,11 000 , 18 000,14 000 ,11 000 , 18 000,14 000 ,11 000 , 17 000,14 000 ,11 000 , 17 000,14 000 ,11 000 , 17 000,13 000 ,10 000 , 16 000,13 000 ,10 000 , 16 000,12 000 ,9700 , 15 000,12 000 ,9300 , 14 000,11 000 ,8600 , 13 000
Nairobi,2700 ,<1000 , 5600,3100 ,<1000 , 6300,3500 ,<1000 , 6800,3700 ,<1000 , 7100,3800 ,<1000 , 7200,3800 ,<1000 , 7100,3800 ,1000 , 6800,3700 ,1000 , 6500,3700 ,1200 , 6200,3800 ,1500 , 6200,3900 ,1800 , 6200,4100 ,2100 , 6200,4300 ,2500 , 6300,4700 ,2900 , 6500,5100 ,3400 , 6900,5600 ,3900 , 7600,6100 ,4300 , 8300,6600 ,4700 , 8900,7000 ,5000 , 9300,7300 ,5200 , 9700,7500 ,5400 , 9700,7600 ,5500 , 9700,7600 ,5500 , 9700,7700 ,5600 , 9700,7800 ,5700 , 9700,8000 ,5900 , 9900,8100 ,6100 , 10 000,8200 ,6200 , 10 000,8300 ,6300 , 10 000,8300 ,6300 , 10 000,8200 ,6200 , 10 000
North Eastern,<500 ,<200 , 1000,<1000 ,<200 , 1600,<1000 ,<200 , 2000,<1000 ,<200 , 2000,<1000 ,<200 , 1900,<1000 ,<200 , 1700,<1000 ,<100 , 1400,<500 ,<100 , 1200,<500 ,<200 , 1000,<500 ,<200 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1100,<1000 ,<1000 , 1300,<1000 ,<1000 , 1500,1100 ,<1000 , 1700,1200 ,<1000 , 1800,1300 ,<1000 , 2000,1400 ,<1000 , 2100,1400 ,<1000 , 2100,1400 ,<1000 , 2200,1400 ,<1000 , 2100,1400 ,<1000 , 2100,1300 ,<1000 , 2000,1200 ,<1000 , 1900,1200 ,<1000 , 1800,1100 ,<1000 , 1700,<1000 ,<1000 , 1600,<1000 ,<1000 , 1500,<1000 ,<1000 , 1300,<1000 ,<500 , 1200
Nyanza,24 000 ,4800 , 49 000,31 000 ,7300 , 63 000,37 000 ,9900 , 75 000,42 000 ,11 000 , 84 000,45 000 ,10 000 , 88 000,45 000 ,10 000 , 87 000,44 000 ,10 000 , 83 000,42 000 ,10 000 , 79 000,40 000 ,10 000 , 72 000,38 000 ,12 000 , 66 000,37 000 ,14 000 , 61 000,37 000 ,17 000 , 59 000,38 000 ,20 000 , 58 000,39 000 ,23 000 , 58 000,42 000 ,27 000 , 58 000,44 000 ,30 000 , 59 000,47 000 ,33 000 , 62 000,49 000 ,36 000 , 64 000,51 000 ,38 000 , 66 000,53 000 ,40 000 , 67 000,54 000 ,41 000 , 68 000,54 000 ,41 000 , 68 000,54 000 ,41 000 , 67 000,53 000 ,40 000 , 65 000,52 000 ,39 000 , 64 000,50 000 ,38 000 , 62 000,48 000 ,37 000 , 59 000,45 000 ,35 000 , 55 000,41 000 ,32 000 , 50 000,37 000 ,30 000 , 46 000,34 000 ,28 000 , 42 000
Rift Valley,13 000 ,2800 , 27 000,16 000 ,3500 , 33 000,18 000 ,3800 , 37 000,19 000 ,4000 , 39 000,18 000 ,4200 , 38 000,17 000 ,4300 , 35 000,15 000 ,4400 , 31 000,14 000 ,4300 , 27 000,13 000 ,4900 , 25 000,13 000 ,5700 , 23 000,14 000 ,7300 , 22 000,15 000 ,9000 , 22 000,16 000 ,11 000 , 23 000,18 000 ,12 000 , 25 000,20 000 ,14 000 , 26 000,21 000 ,15 000 , 28 000,23 000 ,17 000 , 29 000,24 000 ,18 000 , 31 000,25 000 ,19 000 , 32 000,26 000 ,19 000 , 32 000,26 000 ,19 000 , 33 000,26 000 ,19 000 , 32 000,26 000 ,19 000 , 32 000,25 000 ,19 000 , 32 000,25 000 ,19 000 , 31 000,24 000 ,18 000 , 30 000,23 000 ,18 000 , 29 000,22 000 ,17 000 , 28 000,21 000 ,16 000 , 27 000,20 000 ,15 000 , 25 000,19 000 ,14 000 , 24 000
Western,7600 ,1800 , 16 000,9400 ,2200 , 21 000,11 000 ,2500 , 24 000,11 000 ,2600 , 24 000,11 000 ,2500 , 23 000,10 000 ,2400 , 21 000,9000 ,2300 , 18 000,7900 ,2400 , 15 000,7200 ,2800 , 12 000,7000 ,3400 , 11 000,7200 ,4200 , 10 000,7800 ,5000 , 11 000,8600 ,6100 , 12 000,9600 ,7200 , 12 000,11 000 ,8100 , 13 000,12 000 ,8900 , 14 000,12 000 ,9700 , 15 000,13 000 ,10 000 , 16 000,14 000 ,11 000 , 17 000,14 000 ,11 000 , 17 000,15 000 ,11 000 , 18 000,15 000 ,11 000 , 18 000,14 000 ,11 000 , 18 000,14 000 ,11 000 , 17 000,14 000 ,11 000 , 17 000,13 000 ,10 000 , 16 000,13 000 ,10 000 , 16 000,12 000 ,9600 , 15 000,12 000 ,9000 , 14 000,11 000 ,8500 , 13 000,10 000 ,8000 , 12 000
National,62 000 ,48 000,76 000,79 000 ,62 000,98 000,95 000 ,74 000,120 000,110 000 ,83 000,130 000,110 000 ,86 000,140 000,110 000 ,83 000,130 000,100 000 ,78 000,120 000,92 000 ,72 000,110 000,85 000 ,67 000,110 000,81 000 ,64 000,100 000,81 000 ,63 000,100 000,84 000 ,66 000,100 000,89 000 ,70 000,110 000,96 000 ,75 000,120 000,100 000 ,81 000,130 000,110 000 ,87 000,140 000,120 000 ,93 000,150 000,130 000 ,98 000,160 000,130 000 ,100 000,160 000,140 000 ,110 000,170 000,140 000 ,110 000,170 000,140 000 ,110 000,170 000,140 000 ,110 000,170 000,140 000 ,110 000,170 000,130 000 ,100 000,170 000,130 000 ,100 000,160 000,130 000 ,98 000,160 000,120 000 ,94 000,150 000,110 000 ,88 000,140 000,110 000 ,83 000,130 000,99 000 ,78 000,120 000
