States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper, 2020,2020_lower, 2020_upper
Central,34 000 ,21 000 , 50 000,51 000 ,34 000 , 72 000,72 000 ,52 000 , 98 000,93 000 ,67 000 , 120 000,110 000 ,84 000 , 140 000,120 000 ,94 000 , 160 000,130 000 ,100 000 , 160 000,130 000 ,110 000 , 160 000,130 000 ,110 000 , 160 000,130 000 ,110 000 , 160 000,130 000 ,110 000 , 160 000,120 000 ,110 000 , 150 000,120 000 ,100 000 , 140 000,110 000 ,99 000 , 140 000,110 000 ,95 000 , 130 000,100 000 ,91 000 , 120 000,100 000 ,88 000 , 120 000,97 000 ,85 000 , 110 000,95 000 ,83 000 , 110 000,94 000 ,82 000 , 110 000,92 000 ,82 000 , 110 000,92 000 ,81 000 , 100 000,91 000 ,81 000 , 100 000,90 000 ,80 000 , 100 000,89 000 ,79 000 , 100 000,88 000 ,78 000 , 100 000,86 000 ,76 000 , 97 000,84 000 ,74 000 , 96 000,81 000 ,71 000 , 94 000,79 000 ,69 000 , 91 000,77 000 ,66 000 , 89 000
Coast,59 000 ,39 000 , 83 000,74 000 ,50 000 , 99 000,87 000 ,62 000 , 110 000,99 000 ,73 000 , 120 000,110 000 ,83 000 , 130 000,110 000 ,90 000 , 140 000,120 000 ,94 000 , 140 000,120 000 ,98 000 , 140 000,120 000 ,100 000 , 140 000,120 000 ,100 000 , 140 000,120 000 ,100 000 , 140 000,110 000 ,100 000 , 130 000,110 000 ,97 000 , 130 000,110 000 ,94 000 , 120 000,100 000 ,91 000 , 120 000,100 000 ,88 000 , 110 000,97 000 ,86 000 , 110 000,96 000 ,85 000 , 110 000,95 000 ,84 000 , 110 000,94 000 ,83 000 , 110 000,94 000 ,83 000 , 100 000,93 000 ,82 000 , 100 000,93 000 ,82 000 , 100 000,93 000 ,82 000 , 100 000,92 000 ,81 000 , 100 000,91 000 ,80 000 , 100 000,90 000 ,79 000 , 100 000,89 000 ,78 000 , 99 000,88 000 ,77 000 , 98 000,86 000 ,76 000 , 97 000,85 000 ,74 000 , 96 000
Eastern,22 000 ,12 000 , 36 000,36 000 ,22 000 , 55 000,55 000 ,37 000 , 81 000,76 000 ,53 000 , 110 000,97 000 ,72 000 , 130 000,110 000 ,86 000 , 150 000,120 000 ,97 000 , 160 000,130 000 ,100 000 , 160 000,130 000 ,110 000 , 160 000,130 000 ,110 000 , 160 000,130 000 ,110 000 , 160 000,130 000 ,110 000 , 160 000,130 000 ,110 000 , 150 000,120 000 ,100 000 , 140 000,120 000 ,100 000 , 140 000,110 000 ,97 000 , 130 000,110 000 ,95 000 , 130 000,110 000 ,93 000 , 120 000,110 000 ,92 000 , 120 000,110 000 ,92 000 , 120 000,110 000 ,92 000 , 120 000,110 000 ,92 000 , 120 000,110 000 ,91 000 , 120 000,110 000 ,91 000 , 120 000,110 000 ,91 000 , 120 000,110 000 ,90 000 , 120 000,100 000 ,90 000 , 120 000,100 000 ,88 000 , 120 000,100 000 ,86 000 , 120 000,100 000 ,84 000 , 120 000,100 000 ,83 000 , 120 000
Nairobi,48 000 ,38 000 , 60 000,59 000 ,49 000 , 73 000,71 000 ,58 000 , 85 000,81 000 ,68 000 , 97 000,91 000 ,75 000 , 110 000,98 000 ,82 000 , 120 000,100 000 ,87 000 , 120 000,110 000 ,91 000 , 130 000,110 000 ,94 000 , 130 000,110 000 ,95 000 , 130 000,110 000 ,96 000 , 130 000,110 000 ,96 000 , 130 000,110 000 ,95 000 , 130 000,110 000 ,94 000 , 130 000,110 000 ,94 000 , 130 000,110 000 ,95 000 , 130 000,110 000 ,98 000 , 130 000,120 000 ,100 000 , 130 000,120 000 ,100 000 , 140 000,120 000 ,110 000 , 140 000,120 000 ,110 000 , 140 000,130 000 ,110 000 , 140 000,130 000 ,110 000 , 150 000,130 000 ,110 000 , 150 000,130 000 ,110 000 , 150 000,130 000 ,110 000 , 150 000,130 000 ,110 000 , 150 000,130 000 ,110 000 , 150 000,130 000 ,110 000 , 150 000,130 000 ,110 000 , 150 000,130 000 ,110 000 , 150 000
North Eastern,3900 ,2400 , 6500,5900 ,3700 , 8900,7800 ,5000 , 11 000,9300 ,6000 , 14 000,10 000 ,6800 , 15 000,11 000 ,7300 , 16 000,11 000 ,7500 , 17 000,11 000 ,7400 , 17 000,11 000 ,7300 , 16 000,11 000 ,7100 , 16 000,10 000 ,6800 , 15 000,9600 ,6500 , 14 000,9000 ,6000 , 14 000,8400 ,5500 , 13 000,7800 ,5000 , 12 000,7300 ,4700 , 11 000,6700 ,4400 , 11 000,6300 ,4200 , 10 000,5800 ,4000 , 9500,5500 ,3700 , 8900,5100 ,3500 , 8400,4800 ,3300 , 7900,4500 ,3100 , 7500,4300 ,2900 , 7100,4000 ,2700 , 6700,3800 ,2600 , 6400,3600 ,2500 , 6100,3500 ,2400 , 5900,3400 ,2300 , 5700,3200 ,2200 , 5500,3100 ,2100 , 5400
Nyanza,130 000 ,93 000 , 170 000,170 000 ,130 000 , 210 000,210 000 ,160 000 , 270 000,260 000 ,210 000 , 310 000,290 000 ,250 000 , 350 000,330 000 ,280 000 , 390 000,350 000 ,300 000 , 410 000,370 000 ,320 000 , 420 000,380 000 ,330 000 , 430 000,380 000 ,330 000 , 430 000,380 000 ,340 000 , 430 000,380 000 ,330 000 , 420 000,370 000 ,330 000 , 410 000,360 000 ,320 000 , 400 000,350 000 ,320 000 , 390 000,350 000 ,310 000 , 380 000,340 000 ,310 000 , 370 000,340 000 ,310 000 , 370 000,340 000 ,310 000 , 370 000,340 000 ,310 000 , 370 000,350 000 ,320 000 , 370 000,350 000 ,320 000 , 380 000,350 000 ,320 000 , 380 000,360 000 ,330 000 , 390 000,360 000 ,330 000 , 400 000,360 000 ,330 000 , 400 000,360 000 ,330 000 , 410 000,360 000 ,320 000 , 400 000,360 000 ,320 000 , 400 000,350 000 ,320 000 , 400 000,350 000 ,310 000 , 400 000
Rift Valley,110 000 ,76 000 , 150 000,140 000 ,110 000 , 180 000,180 000 ,140 000 , 210 000,210 000 ,170 000 , 250 000,230 000 ,190 000 , 270 000,250 000 ,210 000 , 290 000,260 000 ,210 000 , 300 000,260 000 ,220 000 , 310 000,270 000 ,230 000 , 310 000,260 000 ,230 000 , 310 000,260 000 ,220 000 , 300 000,250 000 ,220 000 , 300 000,250 000 ,210 000 , 290 000,240 000 ,210 000 , 280 000,230 000 ,200 000 , 270 000,220 000 ,200 000 , 260 000,220 000 ,190 000 , 250 000,220 000 ,190 000 , 240 000,220 000 ,190 000 , 240 000,220 000 ,190 000 , 240 000,220 000 ,190 000 , 240 000,220 000 ,190 000 , 240 000,220 000 ,190 000 , 240 000,220 000 ,190 000 , 240 000,220 000 ,190 000 , 240 000,220 000 ,190 000 , 240 000,220 000 ,190 000 , 240 000,220 000 ,190 000 , 240 000,210 000 ,190 000 , 240 000,210 000 ,190 000 , 250 000,210 000 ,190 000 , 250 000
Western,57 000 ,39 000 , 77 000,74 000 ,54 000 , 94 000,92 000 ,71 000 , 110 000,110 000 ,86 000 , 130 000,120 000 ,96 000 , 140 000,130 000 ,100 000 , 140 000,130 000 ,110 000 , 150 000,130 000 ,110 000 , 150 000,130 000 ,110 000 , 150 000,130 000 ,110 000 , 140 000,120 000 ,100 000 , 140 000,120 000 ,100 000 , 130 000,110 000 ,95 000 , 130 000,110 000 ,91 000 , 120 000,100 000 ,88 000 , 120 000,98 000 ,84 000 , 110 000,95 000 ,83 000 , 110 000,94 000 ,82 000 , 110 000,94 000 ,81 000 , 110 000,94 000 ,82 000 , 110 000,95 000 ,83 000 , 110 000,96 000 ,85 000 , 110 000,97 000 ,86 000 , 110 000,98 000 ,88 000 , 110 000,99 000 ,88 000 , 110 000,99 000 ,89 000 , 110 000,99 000 ,88 000 , 110 000,98 000 ,87 000 , 110 000,97 000 ,86 000 , 110 000,96 000 ,84 000 , 110 000,94 000 ,83 000 , 110 000
National,460 000 ,400 000,540 000,610 000 ,540 000,710 000,780 000 ,680 000,900 000,930 000 ,810 000,1 100 000,1 100 000 ,930 000,1 200 000,1 200 000 ,1 000 000,1 300 000,1 200 000 ,1 100 000,1 400 000,1 300 000 ,1 100 000,1 500 000,1 300 000 ,1 100 000,1 500 000,1 300 000 ,1 100 000,1 500 000,1 300 000 ,1 100 000,1 500 000,1 200 000 ,1 100 000,1 400 000,1 200 000 ,1 100 000,1 400 000,1 200 000 ,1 000 000,1 400 000,1 100 000 ,990 000,1 300 000,1 100 000 ,960 000,1 300 000,1 100 000 ,950 000,1 300 000,1 100 000 ,940 000,1 300 000,1 100 000 ,940 000,1 200 000,1 100 000 ,940 000,1 300 000,1 100 000 ,940 000,1 300 000,1 100 000 ,940 000,1 300 000,1 100 000 ,950 000,1 300 000,1 100 000 ,950 000,1 300 000,1 100 000 ,960 000,1 300 000,1 100 000 ,960 000,1 300 000,1 100 000 ,950 000,1 300 000,1 100 000 ,950 000,1 300 000,1 100 000 ,940 000,1 300 000,1 100 000 ,930 000,1 200 000,1 100 000 ,920 000,1 200 000
