States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper, 2020,2020_lower, 2020_upper
Central,2600 ,1600 , 4400,4000 ,2600 , 6000,5700 ,4100 , 8300,7600 ,5700 , 11 000,9500 ,7100 , 13 000,11 000 ,8500 , 15 000,13 000 ,10 000 , 17 000,14 000 ,11 000 , 19 000,16 000 ,12 000 , 20 000,17 000 ,13 000 , 22 000,18 000 ,14 000 , 23 000,19 000 ,15 000 , 24 000,19 000 ,15 000 , 25 000,20 000 ,15 000 , 25 000,20 000 ,16 000 , 25 000,20 000 ,15 000 , 25 000,19 000 ,15 000 , 24 000,19 000 ,14 000 , 23 000,18 000 ,14 000 , 22 000,17 000 ,13 000 , 20 000,16 000 ,12 000 , 19 000,15 000 ,12 000 , 18 000,14 000 ,11 000 , 17 000,13 000 ,9900 , 15 000,12 000 ,9100 , 14 000,11 000 ,8400 , 13 000,9800 ,7700 , 12 000,8900 ,7000 , 11 000,8000 ,6400 , 10 000,7300 ,5800 , 9100,6600 ,5200 , 8400
Coast,5400 ,3500 , 7800,6800 ,4600 , 9500,8300 ,5700 , 11 000,9700 ,6900 , 13 000,11 000 ,8000 , 15 000,12 000 ,9100 , 16 000,14 000 ,10 000 , 17 000,15 000 ,11 000 , 19 000,16 000 ,12 000 , 20 000,17 000 ,13 000 , 21 000,17 000 ,14 000 , 21 000,18 000 ,15 000 , 22 000,18 000 ,15 000 , 22 000,18 000 ,15 000 , 22 000,18 000 ,15 000 , 22 000,18 000 ,15 000 , 21 000,17 000 ,14 000 , 21 000,17 000 ,14 000 , 20 000,16 000 ,13 000 , 19 000,15 000 ,12 000 , 18 000,14 000 ,12 000 , 17 000,13 000 ,11 000 , 16 000,13 000 ,10 000 , 15 000,12 000 ,9600 , 14 000,11 000 ,8800 , 13 000,10 000 ,8100 , 12 000,9500 ,7600 , 12 000,8900 ,7000 , 11 000,8100 ,6400 , 10 000,7500 ,5800 , 9400,6800 ,5200 , 8800
Eastern,2000 ,1000 , 3500,3300 ,2000 , 5300,5100 ,3400 , 7700,7200 ,5100 , 10 000,9400 ,6900 , 13 000,12 000 ,8700 , 16 000,14 000 ,11 000 , 18 000,15 000 ,12 000 , 20 000,17 000 ,14 000 , 22 000,19 000 ,15 000 , 24 000,20 000 ,16 000 , 26 000,22 000 ,17 000 , 27 000,23 000 ,18 000 , 28 000,23 000 ,19 000 , 29 000,24 000 ,20 000 , 29 000,24 000 ,20 000 , 29 000,24 000 ,19 000 , 29 000,23 000 ,19 000 , 28 000,22 000 ,18 000 , 27 000,21 000 ,17 000 , 25 000,20 000 ,16 000 , 24 000,18 000 ,15 000 , 22 000,17 000 ,14 000 , 20 000,16 000 ,13 000 , 19 000,15 000 ,12 000 , 18 000,14 000 ,11 000 , 16 000,13 000 ,10 000 , 15 000,12 000 ,9200 , 14 000,11 000 ,8300 , 13 000,9700 ,7500 , 12 000,8700 ,6800 , 11 000
Nairobi,2400 ,1900 , 3200,3100 ,2500 , 4000,3900 ,3200 , 4800,4700 ,3900 , 5800,5700 ,4700 , 6900,6700 ,5500 , 8000,7600 ,6400 , 9300,8600 ,7200 , 10 000,9500 ,7800 , 11 000,10 000 ,8400 , 12 000,11 000 ,8900 , 13 000,11 000 ,9200 , 14 000,12 000 ,9500 , 14 000,12 000 ,9700 , 14 000,12 000 ,9800 , 15 000,12 000 ,9800 , 15 000,12 000 ,9800 , 15 000,12 000 ,9900 , 14 000,12 000 ,9500 , 14 000,12 000 ,9400 , 14 000,11 000 ,9200 , 14 000,11 000 ,8800 , 13 000,11 000 ,8600 , 13 000,10 000 ,8400 , 13 000,10 000 ,8200 , 12 000,9900 ,8000 , 12 000,9500 ,7700 , 12 000,9000 ,7400 , 11 000,8700 ,7100 , 11 000,8300 ,6700 , 11 000,7700 ,6300 , 10 000
North Eastern,<500 ,<500 , <1000,<1000 ,<500 , 1100,<1000 ,<1000 , 1500,1200 ,<1000 , 1900,1500 ,1000 , 2300,1800 ,1200 , 2700,2000 ,1400 , 3000,2200 ,1500 , 3400,2400 ,1600 , 3700,2600 ,1700 , 3900,2700 ,1800 , 4200,2800 ,1900 , 4400,2900 ,1900 , 4400,2900 ,1900 , 4500,2900 ,1900 , 4500,2900 ,1900 , 4400,2700 ,1800 , 4200,2600 ,1700 , 4000,2400 ,1500 , 3700,2200 ,1400 , 3500,2000 ,1300 , 3200,1900 ,1200 , 3000,1700 ,1100 , 2800,1600 ,<1000 , 2600,1400 ,<1000 , 2400,1300 ,<1000 , 2200,1100 ,<1000 , 2000,1000 ,<1000 , 1900,<1000 ,<1000 , 1700,<1000 ,<1000 , 1500,<1000 ,<500 , 1400
Nyanza,12 000 ,8600 , 17 000,17 000 ,13 000 , 23 000,22 000 ,17 000 , 29 000,28 000 ,22 000 , 36 000,34 000 ,27 000 , 43 000,40 000 ,32 000 , 49 000,45 000 ,38 000 , 56 000,51 000 ,43 000 , 62 000,56 000 ,48 000 , 68 000,61 000 ,52 000 , 74 000,65 000 ,56 000 , 78 000,69 000 ,59 000 , 84 000,74 000 ,63 000 , 88 000,77 000 ,66 000 , 92 000,80 000 ,69 000 , 93 000,81 000 ,69 000 , 94 000,81 000 ,69 000 , 94 000,80 000 ,68 000 , 93 000,75 000 ,65 000 , 87 000,71 000 ,62 000 , 81 000,66 000 ,58 000 , 75 000,60 000 ,52 000 , 67 000,55 000 ,48 000 , 61 000,51 000 ,44 000 , 58 000,47 000 ,41 000 , 54 000,42 000 ,38 000 , 49 000,39 000 ,34 000 , 44 000,35 000 ,31 000 , 40 000,32 000 ,28 000 , 38 000,29 000 ,25 000 , 35 000,26 000 ,23 000 , 33 000
Rift Valley,9500 ,6400 , 13 000,13 000 ,9200 , 17 000,16 000 ,12 000 , 21 000,20 000 ,15 000 , 25 000,24 000 ,19 000 , 30 000,27 000 ,22 000 , 34 000,31 000 ,25 000 , 37 000,34 000 ,27 000 , 41 000,36 000 ,30 000 , 45 000,39 000 ,31 000 , 47 000,41 000 ,33 000 , 50 000,42 000 ,34 000 , 52 000,43 000 ,35 000 , 52 000,44 000 ,36 000 , 53 000,44 000 ,36 000 , 52 000,43 000 ,35 000 , 52 000,42 000 ,34 000 , 50 000,40 000 ,33 000 , 48 000,38 000 ,31 000 , 46 000,36 000 ,30 000 , 43 000,34 000 ,28 000 , 40 000,31 000 ,26 000 , 37 000,29 000 ,24 000 , 34 000,27 000 ,22 000 , 32 000,26 000 ,21 000 , 30 000,24 000 ,19 000 , 28 000,22 000 ,18 000 , 26 000,21 000 ,17 000 , 25 000,19 000 ,16 000 , 23 000,18 000 ,14 000 , 22 000,16 000 ,13 000 , 21 000
Western,5700 ,4000 , 8100,7700 ,5700 , 10 000,10 000 ,7700 , 13 000,12 000 ,9600 , 15 000,14 000 ,11 000 , 18 000,17 000 ,13 000 , 20 000,18 000 ,15 000 , 22 000,20 000 ,16 000 , 24 000,22 000 ,18 000 , 26 000,23 000 ,19 000 , 28 000,24 000 ,20 000 , 29 000,25 000 ,21 000 , 30 000,25 000 ,21 000 , 30 000,26 000 ,21 000 , 31 000,25 000 ,21 000 , 30 000,25 000 ,20 000 , 30 000,24 000 ,20 000 , 29 000,23 000 ,19 000 , 28 000,21 000 ,17 000 , 26 000,20 000 ,16 000 , 24 000,19 000 ,15 000 , 23 000,17 000 ,14 000 , 21 000,16 000 ,13 000 , 19 000,15 000 ,12 000 , 18 000,14 000 ,11 000 , 17 000,13 000 ,10 000 , 16 000,12 000 ,9600 , 15 000,11 000 ,8800 , 14 000,10 000 ,8100 , 13 000,9500 ,7400 , 12 000,8700 ,6800 , 11 000
National,41 000 ,33 000,52 000,55 000 ,45 000,71 000,73 000 ,59 000,92 000,91 000 ,73 000,120 000,110 000 ,88 000,140 000,130 000 ,100 000,160 000,140 000 ,120 000,180 000,160 000 ,130 000,200 000,170 000 ,140 000,220 000,190 000 ,150 000,240 000,200 000 ,160 000,250 000,210 000 ,170 000,270 000,220 000 ,180 000,280 000,220 000 ,180 000,280 000,230 000 ,180 000,290 000,230 000 ,180 000,290 000,220 000 ,180 000,280 000,220 000 ,170 000,280 000,200 000 ,160 000,260 000,190 000 ,160 000,250 000,180 000 ,150 000,230 000,170 000 ,140 000,210 000,160 000 ,130 000,200 000,150 000 ,120 000,190 000,140 000 ,110 000,170 000,130 000 ,100 000,160 000,120 000 ,93 000,150 000,110 000 ,86 000,140 000,98 000 ,79 000,120 000,90 000 ,73 000,110 000,82 000 ,67 000,100 000
